@RELATION ClusteringDatasets/Compound

@ATTRIBUTE f0 REAL
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 {1, 2, 3, 4, 5, 6}

@DATA
1.362991,0.898799,1
1.670771,0.898799,1
1.847366,0.792842,1
1.458857,0.767614,1
1.680862,0.676794,1
1.368037,0.585973,1
1.524450,0.505244,1
1.731318,0.464880,1
1.413447,0.348832,1
1.595088,0.278194,1
1.403356,0.162145,1
1.509313,0.071325,1
1.726273,0.061234,1
1.413447,-0.130498,1
1.635452,-0.120407,1
1.847366,-0.105270,1
1.998733,-0.261683,1
1.685908,-0.342412,1
1.489131,-0.352503,1
1.403356,-0.544235,1
1.605179,-0.519007,1
1.887731,-0.468551,1
2.165237,-0.473597,1
2.175328,-0.100224,1
2.326696,0.202510,1
2.356969,-0.004358,1
2.568883,0.101599,1
2.730341,0.227738,1
2.927119,0.101599,1
2.770706,-0.044723,1
2.558792,-0.115361,1
2.306513,-0.276819,1
2.533564,-0.286911,1
2.462926,-0.488733,1
2.715205,-0.473597,1
2.780797,-0.261683,1
2.992711,-0.201136,1
2.896845,-0.478642,1
2.947301,0.424515,1
2.725296,0.525427,1
2.957392,0.626338,1
2.795934,0.747432,1
2.927119,0.898799,1
2.584020,0.924027,1
2.538610,0.681839,1
2.220739,0.702022,1
2.018916,0.782751,1
2.109736,0.918981,1
2.251012,0.934118,1
2.351923,0.823115,1
2.029007,0.641475,2
1.978551,0.636429,2
1.933141,0.596065,2
1.938187,0.550654,2
1.973506,0.570837,2
2.013870,0.601110,2
2.064326,0.585973,2
2.034052,0.555700,2
1.998733,0.530472,2
1.973506,0.500199,2
2.094599,0.550654,2
2.079463,0.505244,2
2.029007,0.495153,2
1.973506,0.449743,2
2.008825,0.434606,2
2.069371,0.454789,2
2.109736,0.464880,2
2.129918,0.515335,2
2.190465,0.530472,2
2.170283,0.485062,2
2.210647,0.485062,2
2.261103,0.495153,2
2.240921,0.550654,2
2.301468,0.555700,2
2.321650,0.500199,2
2.356969,0.550654,2
2.407425,0.530472,2
2.372106,0.490108,2
2.462926,0.510290,2
2.412470,0.464880,2
2.462926,0.454789,2
2.503291,0.490108,2
2.543655,0.449743,2
2.578974,0.409378,2
2.518427,0.404333,2
2.558792,0.358923,2
2.523473,0.313513,2
2.488154,0.363968,2
2.447789,0.409378,2
2.462926,0.318558,2
2.412470,0.348832,2
2.397334,0.394242,2
2.356969,0.419470,2
2.311559,0.434606,2
2.271194,0.444697,2
2.356969,0.369014,2
2.301468,0.374059,2
2.240921,0.379105,2
2.225784,0.434606,2
2.185420,0.379105,2
2.170283,0.424515,2
2.124873,0.414424,2
2.124873,0.358923,2
2.084508,0.399287,2
2.029007,0.384151,2
1.978551,0.374059,2
2.049189,0.338740,2
2.094599,0.318558,2
1.938187,0.399287,2
1.902868,0.363968,2
1.862503,0.343786,2
1.812047,0.313513,2
1.786819,0.252966,2
1.807002,0.212601,2
1.837275,0.187373,2
1.867549,0.147009,2
1.907913,0.111690,2
1.958369,0.091507,2
2.008825,0.081416,2
2.074417,0.066280,2
2.129918,0.096553,2
2.124873,0.162145,2
2.099645,0.212601,2
2.084508,0.273148,2
2.029007,0.283239,2
1.993688,0.328649,2
1.938187,0.338740,2
1.887731,0.303421,2
1.842321,0.263057,2
1.867549,0.217647,2
1.907913,0.258011,2
1.948278,0.288285,2
1.983597,0.247920,2
1.948278,0.217647,2
1.897822,0.197464,2
1.943232,0.157100,2
1.993688,0.202510,2
2.044144,0.237829,2
2.054235,0.182328,2
1.983597,0.147009,2
2.023961,0.126826,2
2.074417,0.126826,2
-0.408004,0.918981,3
-0.236455,0.918981,3
-0.080042,0.913936,3
0.071325,0.888708,3
0.141963,0.712113,3
-0.009404,0.762568,3
-0.165817,0.777705,3
-0.302047,0.807979,3
-0.408004,0.762568,3
-0.524052,0.838252,3
-0.614873,0.671748,3
-0.473597,0.681839,3
-0.478642,0.601110,3
-0.594690,0.510290,3
-0.503870,0.343786,3
-0.433232,0.480016,3
-0.367640,0.565791,3
-0.362594,0.656611,3
-0.307093,0.707067,3
-0.236455,0.712113,3
-0.110316,0.681839,3
-0.201136,0.656611,3
-0.246546,0.641475,3
-0.286911,0.636429,3
-0.261683,0.616247,3
-0.297002,0.596065,3
-0.231409,0.591019,3
-0.266728,0.565791,3
-0.322230,0.490108,3
-0.291956,0.369014,3
-0.322230,0.268102,3
-0.211227,0.490108,3
-0.115361,0.555700,3
-0.004358,0.601110,3
-0.175908,0.389196,3
-0.059860,0.444697,3
0.121781,0.515335,4
0.066280,0.348832,3
-0.064905,0.258011,3
0.273148,0.757523,4
0.374059,0.843298,4
0.469925,0.878617,4
0.580928,0.954300,4
0.727249,0.959346,4
0.591019,0.853389,4
0.722204,0.823115,4
0.878617,0.873571,4
0.545609,0.752477,4
0.454789,0.737341,4
0.384151,0.666703,4
0.252966,0.626338,4
0.252966,0.505244,4
0.313513,0.369014,4
0.399287,0.268102,4
0.469925,0.379105,4
0.409378,0.454789,4
0.379105,0.570837,4
0.459834,0.545609,4
0.464880,0.631384,4
0.530472,0.671748,4
0.591019,0.676794,4
0.636429,0.737341,4
0.691930,0.671748,4
0.636429,0.611201,4
0.575882,0.611201,4
0.535518,0.601110,4
0.525427,0.565791,4
0.565791,0.570837,4
0.601110,0.560746,4
0.555700,0.535518,4
0.510290,0.490108,4
0.591019,0.459834,4
0.580928,0.353877,4
0.555700,0.227738,4
0.646520,0.500199,4
0.691930,0.575882,4
0.807979,0.722204,4
0.828161,0.580928,4
0.772660,0.469925,4
0.707067,0.399287,4
0.691930,0.217647,4
0.823115,0.273148,4
0.903844,0.394242,4
-0.185999,-0.069951,5
-0.120407,-0.049769,5
-0.054814,-0.024541,5
0.010778,-0.019495,5
0.096553,-0.029586,5
0.182328,-0.029586,5
0.237829,-0.029586,5
0.288285,-0.014450,5
0.273148,-0.064905,5
0.217647,-0.080042,5
0.141963,-0.085088,5
0.061234,-0.085088,5
-0.009404,-0.105270,5
-0.059860,-0.085088,5
-0.135543,-0.115361,5
-0.125452,-0.175908,5
-0.059860,-0.160771,5
0.015824,-0.160771,5
0.086462,-0.155726,5
0.136918,-0.145635,5
0.197464,-0.130498,5
0.182328,-0.170862,5
0.121781,-0.206181,5
0.071325,-0.236455,5
-0.019495,-0.216273,5
0.030961,-0.261683,5
-0.080042,-0.236455,5
-0.004358,-0.302047,5
-0.201136,-0.216273,5
-0.201136,-0.140589,5
-0.256637,-0.100224,5
-0.322230,-0.140589,5
-0.266728,-0.165817,5
-0.352503,-0.191045,5
-0.286911,-0.236455,5
-0.352503,-0.266728,5
-0.352503,-0.347457,5
-0.291956,-0.307093,5
-0.236455,-0.286911,5
-0.155726,-0.271774,5
-0.085088,-0.317184,5
-0.034632,-0.357549,5
-0.090133,-0.362594,5
-0.140589,-0.327275,5
-0.211227,-0.347457,5
-0.261683,-0.372685,5
-0.317184,-0.402959,5
-0.251592,-0.428187,5
-0.216273,-0.397913,5
-0.155726,-0.387822,5
-0.110316,-0.418095,5
-0.039677,-0.423141,5
-0.080042,-0.458460,5
-0.130498,-0.503870,5
-0.155726,-0.443323,5
-0.196090,-0.478642,5
-0.170862,-0.534144,5
-0.034632,-0.478642,5
0.000687,-0.524052,5
-0.059860,-0.534144,5
-0.115361,-0.569463,5
-0.160771,-0.594690,5
-0.105270,-0.630009,5
-0.145635,-0.665328,5
-0.059860,-0.599736,5
-0.004358,-0.574508,5
0.041052,-0.554326,5
0.111690,-0.574508,5
0.056188,-0.599736,5
0.010778,-0.645146,5
-0.054814,-0.660283,5
-0.080042,-0.705693,5
-0.004358,-0.746058,5
