@RELATION ClusteringDatasets/Jain

@ATTRIBUTE f0 REAL
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 {1, 2}

@DATA
-1.007050,0.418234,2
-1.015636,0.259392,2
-0.796692,0.246513,2
-0.629264,0.139188,2
-0.659315,0.263685,2
-0.620678,0.280858,2
-0.642143,0.456872,2
-0.685073,0.486923,2
-0.732297,0.529853,2
-0.788106,0.611421,2
-0.831036,0.735918,2
-0.813864,0.796021,2
-0.745176,0.796021,2
-0.702246,0.641472,2
-0.461836,0.164946,2
-0.423199,0.336667,2
-0.470422,0.521267,2
-0.474715,0.628593,2
-0.577748,0.684402,2
-0.607799,0.791728,2
-0.517645,0.791728,2
-0.560576,0.834658,2
-0.633557,0.929105,2
-0.689366,0.972035,2
-0.642143,1.014965,2
-0.384562,1.182393,2
-0.208547,1.298305,2
-0.242892,1.109412,2
-0.290115,0.731625,2
-0.118394,0.877588,2
0.001811,0.903346,2
0.057620,0.937691,2
-0.079757,1.225323,2
-0.011068,1.285426,2
0.061913,1.311184,2
0.096257,1.302598,2
0.134895,1.229616,2
0.126309,1.199565,2
0.220755,0.997793,2
0.225048,1.045016,2
-0.032533,0.714453,2
-0.036826,0.761677,2
0.014690,0.813193,2
0.049034,0.796021,2
0.100550,0.808900,2
0.117723,0.869002,2
0.156360,0.864709,2
0.139188,0.821779,2
0.130602,0.787435,2
0.126309,0.757383,2
0.396769,1.049309,2
0.439700,1.053602,2
0.426820,1.083653,2
0.379597,1.225323,2
0.340960,1.246788,2
0.564197,1.096533,2
0.534146,1.040723,2
0.757383,1.139463,2
0.276565,0.753090,2
0.345253,0.735918,2
0.418234,0.701574,2
0.465458,0.718746,2
0.486923,0.654351,2
0.465458,0.834658,2
0.516974,0.830365,2
0.568490,0.804607,2
0.589955,0.817486,2
0.645765,0.774556,2
0.645765,0.714453,2
0.628593,0.667230,2
0.589955,0.555611,2
0.572783,0.525560,2
0.748797,0.834658,2
0.886174,0.950570,2
0.907639,0.989207,2
1.002086,0.881881,2
0.813193,0.658644,2
0.718746,0.486923,2
0.778849,0.401062,2
0.770263,0.353839,2
0.774556,0.319495,2
0.765970,0.250806,2
0.843244,0.336667,2
0.830365,0.474044,2
0.907639,0.555611,2
0.937691,0.620007,2
0.959156,0.654351,2
1.079360,0.620007,2
1.109412,0.589955,2
0.894760,0.465458,2
0.976328,0.443993,2
1.143756,0.426820,2
1.294012,0.263685,2
0.903346,0.173532,2
0.937691,0.225048,2
0.984914,0.199290,2
1.023551,0.182118,2
0.134895,0.409648,1
0.147774,0.362425,1
0.147774,0.272271,1
0.186411,0.216462,1
0.237927,0.250806,1
0.289444,0.332374,1
0.336667,0.383890,1
0.409648,0.383890,1
0.392476,0.319495,1
0.349546,0.302323,1
0.336667,0.220755,1
0.315202,0.203583,1
0.293737,0.143481,1
0.285151,0.053327,1
0.220755,-0.045412,1
0.225048,-0.075464,1
0.379597,0.263685,1
0.371011,0.237927,1
0.409648,0.246513,1
0.392476,0.216462,1
0.405355,0.199290,1
0.439700,0.207876,1
0.379597,0.173532,1
0.366718,0.147774,1
0.345253,0.126309,1
0.388183,0.122016,1
0.418234,0.134895,1
0.448286,0.139188,1
0.431113,0.109136,1
0.396769,0.079085,1
0.401062,0.049034,1
0.388183,0.014690,1
0.375304,-0.019654,1
0.336667,-0.032533,1
0.315202,-0.006775,1
0.298030,-0.058292,1
0.349546,-0.144152,1
0.353839,-0.101222,1
0.375304,-0.114101,1
0.405355,-0.118394,1
0.469751,-0.058292,1
0.516974,-0.006775,1
0.542732,-0.045412,1
0.525560,-0.114101,1
0.461165,-0.144152,1
0.499802,-0.217134,1
0.418234,-0.187082,1
0.431113,-0.208547,1
0.439700,-0.234306,1
0.405355,-0.247185,1
0.375304,-0.247185,1
0.358132,-0.251478,1
0.620007,-0.225720,1
0.559904,-0.260064,1
0.422527,-0.367389,1
0.426820,-0.384562,1
0.452579,-0.431785,1
0.482630,-0.363096,1
0.577076,-0.298701,1
0.585662,-0.320166,1
0.555611,-0.320166,1
0.542732,-0.350217,1
0.516974,-0.406027,1
0.525560,-0.423199,1
0.581369,-0.375976,1
0.632886,-0.367389,1
0.637179,-0.315873,1
0.662937,-0.315873,1
0.684402,-0.324459,1
0.495509,-0.483301,1
0.521267,-0.487594,1
0.577076,-0.479008,1
0.559904,-0.491887,1
0.564197,-0.509059,1
0.740211,-0.324459,1
0.757383,-0.324459,1
0.731625,-0.393148,1
0.671523,-0.479008,1
0.680109,-0.534817,1
0.645765,-0.560576,1
0.675816,-0.637850,1
0.718746,-0.603506,1
0.718746,-0.547697,1
0.714453,-0.513352,1
0.727332,-0.479008,1
0.796021,-0.350217,1
0.800314,-0.375976,1
0.834658,-0.418906,1
0.796021,-0.509059,1
0.748797,-0.646436,1
0.860416,-0.504766,1
0.851830,-0.551990,1
0.950570,-0.461836,1
0.989207,-0.479008,1
0.804607,-0.667901,1
0.821779,-0.646436,1
0.847537,-0.624971,1
0.847537,-0.659315,1
0.869002,-0.607799,1
0.894760,-0.599213,1
0.911932,-0.624971,1
0.933398,-0.569162,1
0.959156,-0.569162,1
1.019258,-0.551990,1
1.032137,-0.526231,1
1.083653,-0.517645,1
1.156635,-0.530524,1
1.092240,-0.586334,1
1.010672,-0.620678,1
0.920518,-0.659315,1
0.890467,-0.672194,1
0.843244,-0.689366,1
0.877588,-0.728004,1
0.886174,-0.736590,1
0.916225,-0.749469,1
0.933398,-0.770934,1
0.941984,-0.719418,1
0.963449,-0.766641,1
0.963449,-0.672194,1
0.997793,-0.736590,1
1.027844,-0.736590,1
1.040723,-0.749469,1
1.040723,-0.710832,1
1.057895,-0.672194,1
1.186686,-0.590627,1
1.251082,-0.569162,1
1.263961,-0.612092,1
1.281133,-0.612092,1
1.285426,-0.642143,1
1.225323,-0.655022,1
1.203858,-0.659315,1
1.225323,-0.702246,1
1.169514,-0.702246,1
1.152342,-0.715125,1
1.079360,-0.728004,1
1.117998,-0.745176,1
1.139463,-0.770934,1
1.062188,-0.792399,1
1.075067,-0.800985,1
1.105119,-0.809571,1
1.225323,-0.826743,1
1.251082,-0.809571,1
1.255375,-0.822450,1
1.319770,-0.800985,1
1.319770,-0.779520,1
1.392751,-0.732297,1
1.392751,-0.676487,1
1.388458,-0.612092,1
1.375579,-0.586334,1
1.431389,-0.539111,1
1.495784,-0.517645,1
1.547300,-0.788106,1
1.500077,-0.783813,1
1.474319,-0.783813,1
1.427096,-0.736590,1
1.448561,-0.732297,1
1.414217,-0.689366,1
1.444268,-0.663608,1
1.452854,-0.676487,1
1.487198,-0.697952,1
1.560179,-0.697952,1
1.530128,-0.732297,1
1.564472,-0.740883,1
1.585938,-0.740883,1
1.573059,-0.633557,1
1.551593,-0.577748,1
1.555886,-0.551990,1
1.624575,-0.543404,1
1.637454,-0.517645,1
1.667505,-0.479008,1
1.710435,-0.397441,1
1.783417,-0.440371,1
1.719021,-0.483301,1
1.723314,-0.513352,1
1.714728,-0.534817,1
1.697556,-0.556283,1
1.714728,-0.582041,1
1.684677,-0.646436,1
1.697556,-0.715125,1
1.744780,-0.723711,1
1.727607,-0.685073,1
1.731900,-0.663608,1
1.847812,-0.685073,1
1.847812,-0.650729,1
1.804882,-0.629264,1
1.783417,-0.594920,1
1.817761,-0.569162,1
1.787710,-0.547697,1
1.877863,-0.582041,1
1.895035,-0.594920,1
1.895035,-0.543404,1
1.946552,-0.543404,1
1.869277,-0.496180,1
1.847812,-0.466129,1
1.877863,-0.453250,1
1.899329,-0.461836,1
1.912208,-0.479008,1
1.869277,-0.414613,1
1.886449,-0.406027,1
1.929380,-0.393148,1
1.968017,-0.388855,1
1.993775,-0.470422,1
2.062464,-0.504766,1
2.075343,-0.457543,1
2.053877,-0.444664,1
2.006654,-0.401734,1
2.019533,-0.384562,1
2.023826,-0.358803,1
2.148324,-0.448957,1
2.174082,-0.423199,1
1.422803,-0.702246,1
1.916501,-0.307287,1
1.950845,-0.272943,1
2.002361,-0.277236,1
2.010947,-0.251478,1
1.989482,-0.221427,1
2.071050,-0.294408,1
2.062464,-0.238599,1
2.088222,-0.242892,1
2.118273,-0.208547,1
2.045291,-0.208547,1
2.036705,-0.161324,1
2.075343,-0.148445,1
2.195547,-0.247185,1
2.217012,-0.268650,1
2.212719,-0.178496,1
2.156910,-0.152738,1
2.135445,-0.122687,1
2.126859,-0.101222,1
2.096808,-0.071171,1
2.079636,-0.032533,1
2.109687,-0.002482,1
2.118273,-0.036826,1
2.152617,-0.053999,1
2.178375,-0.062585,1
2.234185,-0.071171,1
2.225599,-0.032533,1
2.182668,0.031862,1
2.122566,0.036155,1
2.139738,0.070499,1
2.169789,0.164946,1
2.208426,0.173532,1
2.186961,0.160653,1
2.212719,0.152067,1
2.225599,0.143481,1
2.294287,0.139188,1
2.268529,0.053327,1
2.264236,0.027569,1
2.285701,-0.019654,1
2.311459,-0.066878,1
2.315752,-0.023947,1
2.332924,0.014690,1
2.371561,0.018983,1
2.388734,-0.045412,1
2.393027,-0.006775,1
2.401613,0.049034,1
2.393027,0.164946,1
2.371561,0.190704,1
2.410199,0.199290,1
2.405906,0.229341,1
2.466008,0.233634,1
2.435957,0.267978,1
2.461715,0.362425,1
2.435957,0.383890,1
2.414492,0.332374,1
2.393027,0.319495,1
2.345803,0.310909,1
2.324338,0.310909,1
2.289994,0.250806,1
2.255650,0.250806,1
2.208426,0.336667,1
2.247064,0.366718,1
2.268529,0.345253,1
2.204133,0.409648,1
2.311459,0.375304,1
2.345803,0.383890,1
