@RELATION ClusteringDatasets/Path-based

@ATTRIBUTE f0 REAL
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 {1, 2, 3}

@DATA
-0.146847,-0.792812,1
-0.178103,-0.829278,1
-0.292710,-0.714671,1
-0.297920,-0.719881,1
-0.365642,-0.610483,1
-0.417736,-0.631321,1
-0.443783,-0.537552,1
-0.495877,-0.511505,1
-0.594855,-0.412526,1
-0.563599,-0.303129,1
-0.558389,-0.251035,1
-0.704252,-0.204150,1
-0.709462,-0.089544,1
-0.646949,-0.063497,1
-0.725090,0.030272,1
-0.761556,0.082366,1
-0.756346,0.207392,1
-0.829278,0.228229,1
-0.756346,0.285533,1
-0.787603,0.374092,1
-0.719881,0.420977,1
-0.813650,0.519956,1
-0.798021,0.556421,1
-0.688624,0.556421,1
-0.725090,0.707494,1
-0.766765,0.717913,1
-0.709462,0.895032,1
-0.683415,0.905451,1
-0.636530,0.988801,1
-0.704252,1.056523,1
-0.574017,1.150292,1
-0.615693,1.207596,1
-0.490667,1.249271,1
-0.511505,1.316993,1
-0.402107,1.395134,1
-0.396898,1.488903,1
-0.344804,1.540997,1
-0.282291,1.504531,1
-0.146847,1.619138,1
-0.204150,1.655604,1
-0.073916,1.749373,1
-0.073916,1.666022,1
0.045901,1.811886,1
0.077157,1.733745,1
0.212601,1.827514,1
0.212601,1.869189,1
0.358464,1.848351,1
0.358464,1.916073,1
0.509537,1.890026,1
0.519956,1.989005,1
0.613725,1.973377,1
0.644981,1.869189,1
0.749169,1.900445,1
0.775216,1.942120,1
0.921079,1.947330,1
0.853357,1.848351,1
1.072151,1.811886,1
1.119036,1.837933,1
1.202386,1.796257,1
1.259690,1.806676,1
1.343040,1.733745,1
1.343040,1.645185,1
1.462856,1.629557,1
1.478484,1.676441,1
1.556625,1.509741,1
1.624347,1.535788,1
1.707698,1.494112,1
1.707698,1.410762,1
1.749373,1.343040,1
1.811886,1.343040,1
1.837933,1.108617,1
1.869189,1.176339,1
1.900445,1.051314,1
1.910864,1.004429,1
1.874398,0.900241,1
1.942120,0.848147,1
1.999424,0.889823,1
1.957749,0.691866,1
2.087983,0.691866,1
2.004633,0.546002,1
2.124449,0.561631,1
2.098402,0.410558,1
2.035890,0.379302,1
2.056727,0.259486,1
1.994214,0.217811,1
2.051518,0.061529,1
1.978586,0.071948,1
1.926492,-0.063497,1
2.015052,-0.079125,1
1.916073,-0.245826,1
2.009843,-0.235407,1
1.811886,-0.323966,1
1.858770,-0.459411,1
1.765001,-0.459411,1
1.785839,-0.527133,1
1.702488,-0.584436,1
1.702488,-0.620902,1
1.556625,-0.699043,1
1.613929,-0.751137,1
1.442018,-0.818859,1
1.431600,-0.860534,1
1.369087,-0.938675,1
1.337831,-0.891791,1
1.973377,0.410558,1
1.879608,0.493909,1
1.770210,0.551212,1
1.718116,0.400139,1
1.858770,0.301161,1
1.801467,0.092785,3
1.806676,-0.084334,1
1.666022,0.150088,3
1.540997,-0.188522,3
1.431600,-0.198941,3
1.290946,-0.266663,3
1.410762,-0.115591,3
1.514950,0.066738,3
1.629557,0.186554,3
1.593091,0.207392,3
1.593091,0.212601,3
1.092989,-0.172894,3
1.066942,-0.110381,3
1.171130,-0.110381,3
1.238852,-0.110381,3
1.165921,-0.021822,3
1.113827,0.045901,3
1.270108,0.056319,3
1.296155,-0.042659,3
1.301365,-0.016612,3
1.353459,0.025063,3
1.358668,0.087576,3
1.421181,0.066738,3
1.504531,0.196973,3
1.509741,0.202182,3
1.431600,0.176135,3
1.431600,0.176135,3
1.363878,0.196973,3
1.363878,0.233439,3
1.322202,0.207392,3
1.150292,0.196973,3
1.186758,0.233439,3
1.145083,0.275114,3
1.051314,0.191764,3
0.973173,0.139670,3
0.858566,0.030272,3
0.796053,0.045901,3
0.994010,0.394930,3
0.988801,0.415768,3
1.014848,0.259486,3
0.988801,0.264695,3
1.176339,0.342836,3
1.207596,0.358464,3
1.264899,0.358464,3
1.301365,0.363674,3
1.337831,0.420977,3
1.363878,0.436605,3
1.410762,0.436605,3
1.415971,0.441815,3
1.415971,0.384511,3
1.468065,0.368883,3
1.535788,0.363674,3
1.556625,0.436605,3
1.488903,0.473071,3
1.421181,0.566840,3
1.551416,0.551212,3
1.567044,0.514746,3
1.624347,0.582468,3
1.681651,0.676237,3
1.650394,0.676237,3
1.608719,0.697075,3
1.603510,0.796053,3
1.525369,0.816891,3
1.504531,0.931498,3
1.468065,0.712703,3
1.442018,0.764797,3
1.379506,0.743960,3
1.296155,0.743960,3
1.259690,0.837729,3
1.218014,0.822100,3
1.134664,0.801263,3
1.212805,0.733541,3
1.275318,0.660609,3
1.254480,0.431396,3
1.218014,0.431396,3
1.223224,0.467862,3
1.275318,0.483490,3
1.218014,0.525165,3
1.280527,0.535584,3
1.280527,0.561631,3
1.223224,0.592887,3
1.145083,0.618934,3
1.061733,0.650190,3
1.014848,0.832519,3
1.025267,0.535584,3
1.020057,0.582468,3
0.931498,0.525165,3
0.905451,0.561631,3
0.900241,0.582468,3
0.759588,0.743960,3
0.811682,0.811682,3
0.801263,0.447024,3
0.733541,0.499118,3
0.697075,0.499118,3
-0.021822,-0.365642,2
-0.266663,-0.271873,2
-0.094753,-0.047869,2
-0.323966,-0.027031,2
-0.417736,0.071948,2
-0.511505,0.092785,2
-0.428154,0.259486,2
-0.480248,0.337627,2
-0.438573,0.337627,2
-0.422945,0.436605,2
-0.381270,0.457443,2
-0.381270,0.379302,2
-0.344804,0.379302,2
-0.323966,0.275114,2
-0.313548,0.228229,2
-0.261454,0.249067,2
-0.271873,0.306370,2
-0.235407,0.348045,2
-0.209360,0.348045,2
-0.183313,0.342836,2
-0.204150,0.280323,2
-0.136428,0.249067,2
-0.157266,0.217811,2
-0.167685,0.202182,2
-0.157266,0.160507,2
-0.162475,0.097995,2
-0.016612,0.035482,2
0.066738,-0.021822,2
0.087576,-0.027031,2
0.134460,-0.094753,2
0.181345,-0.047869,2
0.285533,-0.047869,2
0.269905,-0.021822,2
0.202182,0.009435,2
