@RELATION ClusteringDatasets/R15

@ATTRIBUTE f0 REAL
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}

@DATA
0.126413,0.213995,1
0.271852,0.117390,1
0.204972,0.175778,1
0.107305,0.155076,1
0.113674,0.293084,1
0.135437,0.152953,1
0.242127,0.143399,1
0.054225,0.142337,1
0.219834,0.131190,1
0.002737,0.299985,1
0.013884,0.234696,1
0.102527,0.249028,1
0.082888,0.234165,1
0.051040,0.167285,1
0.241597,0.155076,1
0.019723,0.201787,1
0.230981,0.111551,1
0.215588,0.133314,1
0.195417,0.247966,1
0.283530,0.174716,1
0.254336,0.271321,1
0.100935,0.173124,1
0.154015,0.335017,1
0.273445,-0.033888,1
0.166754,0.100404,1
0.124821,0.279283,1
0.281407,0.340325,1
0.287776,0.155607,1
0.224611,0.337671,1
0.254867,0.102527,1
0.160915,0.241066,1
0.258051,0.165162,1
0.272383,0.160915,1
0.138622,0.266013,1
0.315378,0.311131,1
0.164100,0.161446,1
0.157730,0.184801,1
0.154546,0.339794,1
0.227265,0.176308,1
0.246905,-0.020087,1
0.720377,0.186394,2
0.731524,0.190640,2
0.815921,0.220365,2
0.706577,0.159323,2
0.799997,0.157200,2
0.770272,0.173124,2
0.802120,0.308477,2
0.721439,0.008576,2
0.639696,0.211341,2
0.802651,0.125352,2
0.509650,0.211341,2
0.783012,0.441708,2
0.809021,0.183740,2
0.850423,0.178962,2
0.781419,0.123759,2
0.806367,0.225673,2
0.831314,0.226734,2
0.697022,0.094565,2
0.649250,0.158792,2
0.577592,0.181086,2
0.745325,0.041485,2
0.611033,0.254867,2
0.726747,0.077049,2
0.684814,0.131190,2
0.639696,0.255928,2
0.740017,0.418884,2
0.600948,0.102527,2
0.881740,0.129598,2
0.753287,0.449139,2
0.768149,0.124821,2
0.668890,0.081826,2
0.658805,0.194356,2
0.735240,0.138091,2
0.602009,0.199664,2
0.776642,0.162508,2
0.709231,0.092973,2
0.681629,0.182147,2
0.782481,0.161977,2
0.756472,0.275568,2
0.737363,0.281937,2
0.543090,0.568038,3
0.428438,0.572284,3
0.466655,0.591393,3
0.505935,0.543621,3
0.502750,0.614218,3
0.434277,0.643411,3
0.448077,0.642350,3
0.583431,0.439585,3
0.447547,0.540967,3
0.497442,0.460817,3
0.610502,0.681629,3
0.505404,0.637573,3
0.482579,0.685875,3
0.472494,0.674729,3
0.585024,0.687999,3
0.500096,0.474617,3
0.376950,0.630672,3
0.485233,0.628018,3
0.553706,0.689591,3
0.430561,0.585554,3
0.441177,0.788850,3
0.433746,0.548398,3
0.618464,0.536190,3
0.491603,0.726216,3
0.542029,0.592986,3
0.514427,0.636511,3
0.591393,0.597232,3
0.437461,0.474617,3
0.476210,0.612625,3
0.579716,0.723562,3
0.431092,0.551052,3
0.673667,0.817514,3
0.496911,0.405614,3
0.616872,0.576000,3
0.510181,0.635980,3
0.604132,0.680037,3
0.556891,0.564853,3
0.527167,0.634919,3
0.374296,0.624834,3
0.592986,0.656151,3
0.186394,0.780888,4
-0.011594,0.703392,4
-0.039196,0.585024,4
0.166754,0.815390,4
0.078641,0.592455,4
0.156138,0.668359,4
-0.067859,0.468779,4
0.332363,0.538313,4
0.068025,0.746917,4
0.078641,0.584493,4
0.006453,0.632795,4
0.241066,0.702861,4
-0.090153,0.792035,4
