@relation ClusteringDatasets/R15_clustered

@attribute Instance_number numeric
@attribute f0 numeric
@attribute f1 numeric
@attribute f2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17}

@data
0,9.802,10.132,1,cluster14
1,10.35,9.768,1,cluster1
2,10.098,9.988,1,cluster1
3,9.73,9.91,1,cluster14
4,9.754,10.43,1,cluster14
5,9.836,9.902,1,cluster14
6,10.238,9.866,1,cluster1
7,9.53,9.862,1,cluster14
8,10.154,9.82,1,cluster1
9,9.336,10.456,1,cluster14
10,9.378,10.21,1,cluster14
11,9.712,10.264,1,cluster14
12,9.638,10.208,1,cluster14
13,9.518,9.956,1,cluster14
14,10.236,9.91,1,cluster1
15,9.4,10.086,1,cluster14
16,10.196,9.746,1,cluster1
17,10.138,9.828,1,cluster1
18,10.062,10.26,1,cluster14
19,10.394,9.984,1,cluster1
20,10.284,10.348,1,cluster14
21,9.706,9.978,1,cluster14
22,9.906,10.588,1,cluster14
23,10.356,9.198,1,cluster1
24,9.954,9.704,1,cluster1
25,9.796,10.378,1,cluster14
26,10.386,10.608,1,cluster14
27,10.41,9.912,1,cluster1
28,10.172,10.598,1,cluster14
29,10.286,9.712,1,cluster1
30,9.932,10.234,1,cluster14
31,10.298,9.948,1,cluster1
32,10.352,9.932,1,cluster1
33,9.848,10.328,1,cluster14
34,10.514,10.498,1,cluster14
35,9.944,9.934,1,cluster1
36,9.92,10.022,1,cluster14
37,9.908,10.606,1,cluster14
38,10.182,9.99,1,cluster1
39,10.256,9.25,1,cluster1
40,12.04,10.028,2,cluster2
41,12.082,10.044,2,cluster2
42,12.4,10.156,2,cluster2
43,11.988,9.926,2,cluster2
44,12.34,9.918,2,cluster2
45,12.228,9.978,2,cluster2
46,12.348,10.488,2,cluster2
47,12.044,9.358,2,cluster2
48,11.736,10.122,2,cluster2
49,12.35,9.798,2,cluster2
50,11.246,10.122,2,cluster2
51,12.276,10.99,2,cluster2
52,12.374,10.018,2,cluster2
53,12.53,10,2,cluster2
54,12.27,9.792,2,cluster2
55,12.364,10.176,2,cluster2
56,12.458,10.18,2,cluster2
57,11.952,9.682,2,cluster2
58,11.772,9.924,2,cluster2
59,11.502,10.008,2,cluster2
60,12.134,9.482,2,cluster2
61,11.628,10.286,2,cluster2
62,12.064,9.616,2,cluster2
63,11.906,9.82,2,cluster2
64,11.736,10.29,2,cluster2
65,12.114,10.904,2,cluster2
66,11.59,9.712,2,cluster2
67,12.648,9.814,2,cluster2
68,12.164,11.018,2,cluster2
69,12.22,9.796,2,cluster2
70,11.846,9.634,2,cluster2
71,11.808,10.058,2,cluster2
72,12.096,9.846,2,cluster2
73,11.594,10.078,2,cluster2
74,12.252,9.938,2,cluster2
75,11.998,9.676,2,cluster2
76,11.894,10.012,2,cluster2
77,12.274,9.936,2,cluster2
78,12.176,10.364,2,cluster2
79,12.104,10.388,2,cluster2
80,11.372,11.466,3,cluster7
81,10.94,11.482,3,cluster7
82,11.084,11.554,3,cluster7
83,11.232,11.374,3,cluster7
84,11.22,11.64,3,cluster7
85,10.962,11.75,3,cluster7
86,11.014,11.746,3,cluster7
87,11.524,10.982,3,cluster7
88,11.012,11.364,3,cluster7
89,11.2,11.062,3,cluster7
90,11.626,11.894,3,cluster7
91,11.23,11.728,3,cluster7
92,11.144,11.91,3,cluster7
93,11.106,11.868,3,cluster7
94,11.53,11.918,3,cluster7
95,11.21,11.114,3,cluster7
96,10.746,11.702,3,cluster7
97,11.154,11.692,3,cluster7
98,11.412,11.924,3,cluster7
99,10.948,11.532,3,cluster7
100,10.988,12.298,3,cluster7
101,10.96,11.392,3,cluster7
102,11.656,11.346,3,cluster7
103,11.178,12.062,3,cluster7
104,11.368,11.56,3,cluster7
105,11.264,11.724,3,cluster7
106,11.554,11.576,3,cluster7
107,10.974,11.114,3,cluster7
108,11.12,11.634,3,cluster7
109,11.51,12.052,3,cluster7
110,10.95,11.402,3,cluster7
111,11.864,12.406,3,cluster7
112,11.198,10.854,3,cluster7
113,11.65,11.496,3,cluster7
114,11.248,11.722,3,cluster7
115,11.602,11.888,3,cluster7
116,11.424,11.454,3,cluster7
117,11.312,11.718,3,cluster7
118,10.736,11.68,3,cluster7
119,11.56,11.798,3,cluster7
120,10.028,12.268,4,cluster6
121,9.282,11.976,4,cluster6
122,9.178,11.53,4,cluster6
123,9.954,12.398,4,cluster6
124,9.622,11.558,4,cluster6
125,9.914,11.844,4,cluster6
126,9.07,11.092,4,cluster6
127,10.578,11.354,4,cluster7
128,9.582,12.14,4,cluster6
129,9.622,11.528,4,cluster6
130,9.35,11.71,4,cluster6
131,10.234,11.974,4,cluster6
132,8.986,12.31,4,cluster6
133,9.438,12.11,4,cluster6
134,9.592,12.012,4,cluster6
135,9.666,11.88,4,cluster6
136,9.364,12.012,4,cluster6
137,9.71,11.772,4,cluster6
138,9.992,11.836,4,cluster6
139,9.916,12.028,4,cluster6
140,9.382,12.226,4,cluster6
141,9.808,12.23,4,cluster6
142,9.272,12.152,4,cluster6
143,9.392,11.18,4,cluster6
144,9.28,11.976,4,cluster6
145,9.848,11.632,4,cluster6
146,9.322,11.514,4,cluster6
147,9.718,11.95,4,cluster6
148,9.12,11.76,4,cluster6
149,8.978,12.37,4,cluster6
150,10.072,12.202,4,cluster6
151,9.966,11.822,4,cluster6
152,9.506,11.648,4,cluster6
153,9.702,11.536,4,cluster6
154,9.45,11.96,4,cluster6
155,9.916,11.962,4,cluster6
156,9.96,11.538,4,cluster6
157,9.014,11.744,4,cluster6
158,9.024,11.846,4,cluster6
159,10.296,11.61,4,cluster6
160,7.87,10.838,5,cluster12
161,8.164,10.534,5,cluster12
162,8.214,10.62,5,cluster12
163,8.166,10.698,5,cluster12
164,8.05,10.746,5,cluster12
165,7.978,11.13,5,cluster12
166,8.08,10.992,5,cluster12
167,8.472,11.082,5,cluster12
168,8.494,10.584,5,cluster12
169,8.354,10.38,5,cluster12
170,8.096,10.714,5,cluster12
171,7.882,10.832,5,cluster12
172,7.908,11.346,5,cluster12
173,7.814,10.872,5,cluster12
174,8.28,10.104,5,cluster12
175,8.082,10.676,5,cluster12
176,8.068,10.118,5,cluster12
177,8.116,10.698,5,cluster12
178,8.042,10.79,5,cluster12
179,8.096,10.878,5,cluster12
180,8.124,10.932,5,cluster12
181,8.632,11.124,5,cluster12
182,8.27,10.716,5,cluster12
183,7.622,10.148,5,cluster12
184,8.198,11.398,5,cluster12
185,8.582,11.064,5,cluster12
186,7.942,11.076,5,cluster12
187,8.004,10.574,5,cluster12
188,8.504,11.378,5,cluster12
189,8.118,11.012,5,cluster12
190,7.874,11.296,5,cluster12
191,7.668,10.924,5,cluster12
192,7.966,10.72,5,cluster12
193,7.94,10.996,5,cluster12
194,7.988,11.228,5,cluster12
195,8.164,11.112,5,cluster12
196,8.386,10.772,5,cluster12
197,8.248,10.994,5,cluster12
198,8.286,10.734,5,cluster12
199,8.224,10.316,5,cluster12
200,7.976,9.578,6,cluster13
201,7.876,8.796,6,cluster13
202,8.172,9.01,6,cluster13
203,8.068,9.202,6,cluster13
204,8.416,8.654,6,cluster13
205,8.71,8.458,6,cluster13
206,8.056,8.434,6,cluster13
207,7.304,9.266,6,cluster13
208,8.118,8.608,6,cluster13
209,7.616,9.446,6,cluster13
210,8.092,8.956,6,cluster13
211,8.368,8.968,6,cluster13
212,8.022,9.334,6,cluster13
213,8.32,9.062,6,cluster13
214,7.832,8.952,6,cluster13
215,7.704,8.672,6,cluster13
216,8.236,9.108,6,cluster13
217,8.37,8.904,6,cluster13
218,8.352,8.896,6,cluster13
219,8.046,9.228,6,cluster13
220,7.71,9.538,6,cluster13
221,8.534,8.55,6,cluster13
222,7.996,9.172,6,cluster13
223,8.046,9.204,6,cluster13
224,8.622,9.174,6,cluster13
225,7.776,8.898,6,cluster13
226,8.226,9.038,6,cluster13
227,7.904,9.194,6,cluster13
228,7.874,8.856,6,cluster13
229,7.992,8.952,6,cluster13
230,8.262,9.468,6,cluster13
231,8.088,9.294,6,cluster13
232,8.034,9.792,6,cluster13
233,8.352,9.016,6,cluster13
234,7.85,9.334,6,cluster13
235,8.404,9.366,6,cluster13
236,7.892,8.808,6,cluster13
237,8.202,9.232,6,cluster13
238,7.668,9.026,6,cluster13
239,8.242,9.308,6,cluster13
240,9.432,8.61,7,cluster10
241,10.066,8.19,7,cluster10
242,9.146,8.044,7,cluster10
243,9.662,7.866,7,cluster10
244,9.6,7.874,7,cluster10
245,8.618,8.552,7,cluster13
246,9.334,7.658,7,cluster10
247,9.424,7.83,7,cluster10
248,8.892,8.166,7,cluster10
249,9.386,7.746,7,cluster10
250,9.878,8.054,7,cluster10
251,9.558,7.948,7,cluster10
252,9.222,8.002,7,cluster10
253,9.52,8.282,7,cluster10
254,9.76,7.932,7,cluster10
255,9.568,8.052,7,cluster10
256,9.736,7.552,7,cluster10
257,9.584,8.478,7,cluster10
258,9.358,8.242,7,cluster10
259,9.404,7.79,7,cluster10
260,9.458,8.54,7,cluster10
261,9.482,7.766,7,cluster10
262,8.844,8.024,7,cluster10
263,9.29,8.472,7,cluster10
264,9.274,7.566,7,cluster10
265,9.11,8.014,7,cluster10
266,9.542,7.688,7,cluster10
267,9.432,8.122,7,cluster10
268,9.786,8.066,7,cluster10
269,9.382,7.664,7,cluster10
270,9.404,8.228,7,cluster10
271,9.146,8.158,7,cluster10
272,9.622,8.004,7,cluster10
273,10.286,7.892,7,cluster10
274,9.43,7.676,7,cluster10
275,9.44,8.058,7,cluster10
276,9.788,7.684,7,cluster10
277,9.586,7.91,7,cluster10
