@relation ClusteringDatasets/R15_clustered

@attribute Instance_number numeric
@attribute f0 numeric
@attribute f1 numeric
@attribute f2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,9.802,10.132,1,cluster2
1,10.35,9.768,1,cluster2
2,10.098,9.988,1,cluster2
3,9.73,9.91,1,cluster2
4,9.754,10.43,1,cluster2
5,9.836,9.902,1,cluster2
6,10.238,9.866,1,cluster2
7,9.53,9.862,1,cluster2
8,10.154,9.82,1,cluster2
9,9.336,10.456,1,cluster2
10,9.378,10.21,1,cluster2
11,9.712,10.264,1,cluster2
12,9.638,10.208,1,cluster2
13,9.518,9.956,1,cluster2
14,10.236,9.91,1,cluster2
15,9.4,10.086,1,cluster2
16,10.196,9.746,1,cluster2
17,10.138,9.828,1,cluster2
18,10.062,10.26,1,cluster2
19,10.394,9.984,1,cluster2
20,10.284,10.348,1,cluster2
21,9.706,9.978,1,cluster2
22,9.906,10.588,1,cluster2
23,10.356,9.198,1,cluster1
24,9.954,9.704,1,cluster2
25,9.796,10.378,1,cluster2
26,10.386,10.608,1,cluster2
27,10.41,9.912,1,cluster2
28,10.172,10.598,1,cluster2
29,10.286,9.712,1,cluster2
30,9.932,10.234,1,cluster2
31,10.298,9.948,1,cluster2
32,10.352,9.932,1,cluster2
33,9.848,10.328,1,cluster2
34,10.514,10.498,1,cluster2
35,9.944,9.934,1,cluster2
36,9.92,10.022,1,cluster2
37,9.908,10.606,1,cluster2
38,10.182,9.99,1,cluster2
39,10.256,9.25,1,cluster1
40,12.04,10.028,2,cluster2
41,12.082,10.044,2,cluster2
42,12.4,10.156,2,cluster2
43,11.988,9.926,2,cluster2
44,12.34,9.918,2,cluster2
45,12.228,9.978,2,cluster2
46,12.348,10.488,2,cluster2
47,12.044,9.358,2,cluster2
48,11.736,10.122,2,cluster2
49,12.35,9.798,2,cluster2
50,11.246,10.122,2,cluster2
51,12.276,10.99,2,cluster2
52,12.374,10.018,2,cluster2
53,12.53,10,2,cluster2
54,12.27,9.792,2,cluster2
55,12.364,10.176,2,cluster2
56,12.458,10.18,2,cluster2
57,11.952,9.682,2,cluster2
58,11.772,9.924,2,cluster2
59,11.502,10.008,2,cluster2
60,12.134,9.482,2,cluster2
61,11.628,10.286,2,cluster2
62,12.064,9.616,2,cluster2
63,11.906,9.82,2,cluster2
64,11.736,10.29,2,cluster2
65,12.114,10.904,2,cluster2
66,11.59,9.712,2,cluster2
67,12.648,9.814,2,cluster2
68,12.164,11.018,2,cluster2
69,12.22,9.796,2,cluster2
70,11.846,9.634,2,cluster2
71,11.808,10.058,2,cluster2
72,12.096,9.846,2,cluster2
73,11.594,10.078,2,cluster2
74,12.252,9.938,2,cluster2
75,11.998,9.676,2,cluster2
76,11.894,10.012,2,cluster2
77,12.274,9.936,2,cluster2
78,12.176,10.364,2,cluster2
79,12.104,10.388,2,cluster2
80,11.372,11.466,3,cluster2
81,10.94,11.482,3,cluster2
82,11.084,11.554,3,cluster2
83,11.232,11.374,3,cluster2
84,11.22,11.64,3,cluster2
85,10.962,11.75,3,cluster2
86,11.014,11.746,3,cluster2
87,11.524,10.982,3,cluster2
88,11.012,11.364,3,cluster2
89,11.2,11.062,3,cluster2
90,11.626,11.894,3,cluster2
91,11.23,11.728,3,cluster2
92,11.144,11.91,3,cluster2
93,11.106,11.868,3,cluster2
94,11.53,11.918,3,cluster2
95,11.21,11.114,3,cluster2
96,10.746,11.702,3,cluster2
97,11.154,11.692,3,cluster2
98,11.412,11.924,3,cluster2
99,10.948,11.532,3,cluster2
100,10.988,12.298,3,cluster2
101,10.96,11.392,3,cluster2
102,11.656,11.346,3,cluster2
103,11.178,12.062,3,cluster2
104,11.368,11.56,3,cluster2
105,11.264,11.724,3,cluster2
106,11.554,11.576,3,cluster2
107,10.974,11.114,3,cluster2
108,11.12,11.634,3,cluster2
109,11.51,12.052,3,cluster2
110,10.95,11.402,3,cluster2
111,11.864,12.406,3,cluster2
