@relation ClusteringDatasets/R15_clustered

@attribute Instance_number numeric
@attribute f0 numeric
@attribute f1 numeric
@attribute f2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@attribute Cluster {cluster0}

@data
0,9.802,10.132,1,cluster0
1,10.35,9.768,1,cluster0
2,10.098,9.988,1,cluster0
3,9.73,9.91,1,cluster0
4,9.754,10.43,1,cluster0
5,9.836,9.902,1,cluster0
6,10.238,9.866,1,cluster0
7,9.53,9.862,1,cluster0
8,10.154,9.82,1,cluster0
9,9.336,10.456,1,cluster0
10,9.378,10.21,1,cluster0
11,9.712,10.264,1,cluster0
12,9.638,10.208,1,cluster0
13,9.518,9.956,1,cluster0
14,10.236,9.91,1,cluster0
15,9.4,10.086,1,cluster0
16,10.196,9.746,1,cluster0
17,10.138,9.828,1,cluster0
18,10.062,10.26,1,cluster0
19,10.394,9.984,1,cluster0
20,10.284,10.348,1,cluster0
21,9.706,9.978,1,cluster0
22,9.906,10.588,1,cluster0
23,10.356,9.198,1,cluster0
24,9.954,9.704,1,cluster0
25,9.796,10.378,1,cluster0
26,10.386,10.608,1,cluster0
27,10.41,9.912,1,cluster0
28,10.172,10.598,1,cluster0
29,10.286,9.712,1,cluster0
30,9.932,10.234,1,cluster0
31,10.298,9.948,1,cluster0
32,10.352,9.932,1,cluster0
33,9.848,10.328,1,cluster0
34,10.514,10.498,1,cluster0
35,9.944,9.934,1,cluster0
36,9.92,10.022,1,cluster0
37,9.908,10.606,1,cluster0
38,10.182,9.99,1,cluster0
39,10.256,9.25,1,cluster0
40,12.04,10.028,2,cluster0
41,12.082,10.044,2,cluster0
42,12.4,10.156,2,cluster0
43,11.988,9.926,2,cluster0
44,12.34,9.918,2,cluster0
45,12.228,9.978,2,cluster0
46,12.348,10.488,2,cluster0
47,12.044,9.358,2,cluster0
48,11.736,10.122,2,cluster0
49,12.35,9.798,2,cluster0
50,11.246,10.122,2,cluster0
51,12.276,10.99,2,cluster0
52,12.374,10.018,2,cluster0
53,12.53,10,2,cluster0
54,12.27,9.792,2,cluster0
55,12.364,10.176,2,cluster0
56,12.458,10.18,2,cluster0
57,11.952,9.682,2,cluster0
58,11.772,9.924,2,cluster0
59,11.502,10.008,2,cluster0
60,12.134,9.482,2,cluster0
61,11.628,10.286,2,cluster0
62,12.064,9.616,2,cluster0
63,11.906,9.82,2,cluster0
64,11.736,10.29,2,cluster0
65,12.114,10.904,2,cluster0
66,11.59,9.712,2,cluster0
67,12.648,9.814,2,cluster0
68,12.164,11.018,2,cluster0
69,12.22,9.796,2,cluster0
70,11.846,9.634,2,cluster0
71,11.808,10.058,2,cluster0
72,12.096,9.846,2,cluster0
73,11.594,10.078,2,cluster0
74,12.252,9.938,2,cluster0
75,11.998,9.676,2,cluster0
76,11.894,10.012,2,cluster0
77,12.274,9.936,2,cluster0
78,12.176,10.364,2,cluster0
79,12.104,10.388,2,cluster0
80,11.372,11.466,3,cluster0
81,10.94,11.482,3,cluster0
82,11.084,11.554,3,cluster0
83,11.232,11.374,3,cluster0
84,11.22,11.64,3,cluster0
85,10.962,11.75,3,cluster0
86,11.014,11.746,3,cluster0
87,11.524,10.982,3,cluster0
88,11.012,11.364,3,cluster0
