@relation ClusteringDatasets/Jain_clustered

@attribute Instance_number numeric
@attribute f0 numeric
@attribute f1 numeric
@attribute f2 {1,2}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,-1.00705,0.418234,2,?
1,-1.015636,0.259392,2,?
2,-0.796692,0.246513,2,?
3,-0.629264,0.139188,2,?
4,-0.659315,0.263685,2,?
5,-0.620678,0.280858,2,?
6,-0.642143,0.456872,2,?
7,-0.685073,0.486923,2,?
8,-0.732297,0.529853,2,?
9,-0.788106,0.611421,2,?
10,-0.831036,0.735918,2,?
11,-0.813864,0.796021,2,?
12,-0.745176,0.796021,2,?
13,-0.702246,0.641472,2,?
14,-0.461836,0.164946,2,?
15,-0.423199,0.336667,2,?
16,-0.470422,0.521267,2,?
17,-0.474715,0.628593,2,?
18,-0.577748,0.684402,2,?
19,-0.607799,0.791728,2,?
20,-0.517645,0.791728,2,?
21,-0.560576,0.834658,2,?
22,-0.633557,0.929105,2,?
23,-0.689366,0.972035,2,?
24,-0.642143,1.014965,2,?
25,-0.384562,1.182393,2,?
26,-0.208547,1.298305,2,?
27,-0.242892,1.109412,2,?
28,-0.290115,0.731625,2,?
29,-0.118394,0.877588,2,?
30,0.001811,0.903346,2,?
31,0.05762,0.937691,2,?
32,-0.079757,1.225323,2,?
33,-0.011068,1.285426,2,?
34,0.061913,1.311184,2,?
35,0.096257,1.302598,2,?
36,0.134895,1.229616,2,?
37,0.126309,1.199565,2,?
38,0.220755,0.997793,2,?
39,0.225048,1.045016,2,?
40,-0.032533,0.714453,2,?
41,-0.036826,0.761677,2,?
42,0.01469,0.813193,2,?
43,0.049034,0.796021,2,?
44,0.10055,0.8089,2,?
45,0.117723,0.869002,2,?
46,0.15636,0.864709,2,?
47,0.139188,0.821779,2,?
48,0.130602,0.787435,2,?
49,0.126309,0.757383,2,?
50,0.396769,1.049309,2,?
51,0.4397,1.053602,2,?
52,0.42682,1.083653,2,?
53,0.379597,1.225323,2,?
54,0.34096,1.246788,2,?
55,0.564197,1.096533,2,?
56,0.534146,1.040723,2,?
57,0.757383,1.139463,2,?
58,0.276565,0.75309,2,?
