@relation ClusteringDatasets/Flames_clustered

@attribute Instance_number numeric
@attribute f0 numeric
@attribute f1 numeric
@attribute f2 {1,2}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39,cluster40,cluster41,cluster42,cluster43,cluster44,cluster45,cluster46,cluster47,cluster48,cluster49,cluster50,cluster51,cluster52,cluster53,cluster54,cluster55,cluster56}

@data
0,-0.950962,2.090657,1,cluster0
1,-1.009567,1.955865,1,cluster1
2,-1.003706,1.557348,2,cluster8
3,-1.068172,1.533906,2,cluster8
4,-1.109196,1.451858,2,cluster8
5,-1.091614,1.334648,2,cluster47
6,-1.03887,1.416695,2,cluster8
7,-1.009567,1.487022,2,cluster8
8,-0.939241,1.504603,2,cluster8
9,-0.886496,1.463579,2,cluster8
10,-0.956822,1.410835,2,cluster2
11,-0.874775,1.393253,2,cluster8
12,-0.82203,1.340508,2,cluster8
13,-0.945101,1.322927,2,cluster8
14,-1.009567,1.346369,2,cluster8
15,-1.009567,1.281903,2,cluster8
16,-1.021288,1.217437,2,cluster8
17,-0.962683,1.182274,2,cluster8
18,-0.93338,1.24674,2,cluster8
19,-0.874775,1.293624,2,cluster8
20,-0.968543,1.065063,2,cluster35
21,-0.886496,1.182274,2,cluster8
22,-0.810309,1.229158,2,cluster8
23,-0.734122,1.229158,2,cluster8
24,-0.763424,1.164692,2,cluster8
25,-0.82203,1.117808,2,cluster8
26,-0.886496,1.106087,2,cluster8
27,-0.886496,0.971294,2,cluster8
28,-0.833751,1.0299,2,cluster8
29,-0.786867,1.065063,2,cluster8
30,-0.704819,1.129529,2,cluster8
31,-0.851332,0.91855,2,cluster8
32,-0.763424,0.947852,2,cluster8
33,-0.722401,1.006458,2,cluster8
34,-0.698959,1.070924,2,cluster8
35,-0.646214,1.164692,2,cluster8
36,-0.622772,1.076784,2,cluster8
37,-0.599329,0.994737,2,cluster4
38,-0.663795,0.947852,2,cluster43
39,-0.775145,0.859944,2,cluster44
40,-0.734122,0.742733,2,cluster45
41,-0.652074,0.81892,2,cluster43
42,-0.669656,0.871665,2,cluster43
43,-0.60519,0.900968,2,cluster43
44,-0.552445,0.971294,2,cluster4
45,-0.49384,1.006458,2,cluster4
46,-0.546585,1.088505,2,cluster8
47,-0.458677,1.123668,2,cluster46
48,-0.405932,1.047481,2,cluster4
49,-0.458677,0.965434,2,cluster4
50,-0.511421,0.91855,2,cluster4
51,-0.529003,0.842363,2,cluster4
52,-0.575887,0.772036,2,cluster48
53,-0.634493,0.713431,2,cluster49
54,-0.587608,0.643104,2,cluster50
55,-0.482119,0.566917,2,cluster50
56,-0.511421,0.625523,2,cluster50
57,-0.505561,0.70757,2,cluster51
58,-0.470398,0.801339,2,cluster4
59,-0.435234,0.754455,2,cluster4
60,-0.452816,0.877526,2,cluster4
61,-0.394211,0.900968,2,cluster4
62,-0.38835,0.977155,2,cluster4
63,-0.312163,0.983015,2,cluster4
64,-0.247697,0.977155,2,cluster4
65,-0.329745,0.91855,2,cluster4
66,-0.277,0.906828,2,cluster4
67,-0.38249,0.854084,2,cluster4
68,-0.312163,0.854084,2,cluster4
69,-0.38249,0.801339,2,cluster4
70,-0.312163,0.783757,2,cluster4
71,-0.376629,0.742733,2,cluster4
72,-0.300442,0.731012,2,cluster4
73,-0.400071,0.678268,2,cluster4
74,-0.306303,0.684128,2,cluster4
75,-0.370768,0.584499,2,cluster52
76,-0.294581,0.602081,2,cluster52
77,-0.364908,0.525894,2,cluster52
78,-0.277,0.543475,2,cluster52
79,-0.16565,0.549336,2,cluster53
80,-0.206673,0.648965,2,cluster4
81,-0.241837,0.719291,2,cluster4
82,-0.224255,0.766176,2,cluster4
83,-0.253558,0.824781,2,cluster4
84,-0.230116,0.877526,2,cluster4
85,-0.183231,0.953713,2,cluster4
86,-0.153929,0.912689,2,cluster4
87,-0.124626,0.836502,2,cluster4
