@relation ClusteringDatasets/Flames_clustered

@attribute Instance_number numeric
@attribute f0 numeric
@attribute f1 numeric
@attribute f2 {1,2}
@attribute Cluster {cluster0,cluster1}

@data
0,-0.950962,2.090657,1,?
1,-1.009567,1.955865,1,?
2,-1.003706,1.557348,2,cluster0
3,-1.068172,1.533906,2,cluster0
4,-1.109196,1.451858,2,cluster0
5,-1.091614,1.334648,2,cluster0
6,-1.03887,1.416695,2,cluster0
7,-1.009567,1.487022,2,cluster0
8,-0.939241,1.504603,2,cluster0
9,-0.886496,1.463579,2,cluster0
10,-0.956822,1.410835,2,cluster0
11,-0.874775,1.393253,2,cluster0
12,-0.82203,1.340508,2,cluster0
13,-0.945101,1.322927,2,cluster0
14,-1.009567,1.346369,2,cluster0
15,-1.009567,1.281903,2,cluster0
16,-1.021288,1.217437,2,cluster0
17,-0.962683,1.182274,2,cluster0
18,-0.93338,1.24674,2,cluster0
19,-0.874775,1.293624,2,cluster0
20,-0.968543,1.065063,2,cluster0
21,-0.886496,1.182274,2,cluster0
22,-0.810309,1.229158,2,cluster0
23,-0.734122,1.229158,2,cluster0
24,-0.763424,1.164692,2,cluster0
25,-0.82203,1.117808,2,cluster0
26,-0.886496,1.106087,2,cluster0
27,-0.886496,0.971294,2,cluster0
28,-0.833751,1.0299,2,cluster0
29,-0.786867,1.065063,2,cluster0
30,-0.704819,1.129529,2,cluster0
31,-0.851332,0.91855,2,cluster0
32,-0.763424,0.947852,2,cluster0
33,-0.722401,1.006458,2,cluster0
34,-0.698959,1.070924,2,cluster0
35,-0.646214,1.164692,2,cluster0
36,-0.622772,1.076784,2,cluster0
37,-0.599329,0.994737,2,cluster0
38,-0.663795,0.947852,2,cluster0
39,-0.775145,0.859944,2,cluster0
40,-0.734122,0.742733,2,cluster0
41,-0.652074,0.81892,2,cluster0
42,-0.669656,0.871665,2,cluster0
43,-0.60519,0.900968,2,cluster0
44,-0.552445,0.971294,2,cluster0
45,-0.49384,1.006458,2,cluster0
46,-0.546585,1.088505,2,cluster0
47,-0.458677,1.123668,2,cluster0
48,-0.405932,1.047481,2,cluster0
49,-0.458677,0.965434,2,cluster0
50,-0.511421,0.91855,2,cluster0
51,-0.529003,0.842363,2,cluster0
52,-0.575887,0.772036,2,cluster0
53,-0.634493,0.713431,2,cluster0
54,-0.587608,0.643104,2,cluster0
55,-0.482119,0.566917,2,cluster0
56,-0.511421,0.625523,2,cluster0
57,-0.505561,0.70757,2,cluster0
58,-0.470398,0.801339,2,cluster0
59,-0.435234,0.754455,2,cluster0
60,-0.452816,0.877526,2,cluster0
61,-0.394211,0.900968,2,cluster0
62,-0.38835,0.977155,2,cluster0
63,-0.312163,0.983015,2,cluster0
64,-0.247697,0.977155,2,cluster0
65,-0.329745,0.91855,2,cluster0
66,-0.277,0.906828,2,cluster0
67,-0.38249,0.854084,2,cluster0
68,-0.312163,0.854084,2,cluster0
69,-0.38249,0.801339,2,cluster0
70,-0.312163,0.783757,2,cluster0
71,-0.376629,0.742733,2,cluster0
72,-0.300442,0.731012,2,cluster0
73,-0.400071,0.678268,2,cluster0
74,-0.306303,0.684128,2,cluster0
75,-0.370768,0.584499,2,cluster0
76,-0.294581,0.602081,2,cluster0
77,-0.364908,0.525894,2,cluster0
78,-0.277,0.543475,2,cluster0
79,-0.16565,0.549336,2,cluster0
80,-0.206673,0.648965,2,cluster0
81,-0.241837,0.719291,2,cluster0
82,-0.224255,0.766176,2,cluster0
83,-0.253558,0.824781,2,cluster0
84,-0.230116,0.877526,2,cluster0
85,-0.183231,0.953713,2,cluster0
86,-0.153929,0.912689,2,cluster0
87,-0.124626,0.836502,2,cluster0
88,-0.183231,0.836502,2,cluster0
89,-0.153929,0.783757,2,cluster0
90,-0.177371,0.713431,2,cluster0
91,-0.130486,0.631383,2,cluster0
92,-0.042578,0.625523,2,cluster0
93,-0.095323,0.70757,2,cluster0
94,0.027748,0.70757,2,cluster0
95,-0.054299,0.783757,2,cluster0
96,0.092214,0.777897,2,cluster0
97,0.057051,0.848223,2,cluster0
98,-0.013276,0.836502,2,cluster0
99,-0.066021,0.895107,2,cluster0
100,0.021887,0.906828,2,cluster0
101,-0.013276,0.959573,2,cluster0
102,-0.107044,0.971294,2,cluster0
103,-0.077742,1.024039,2,cluster0
104,-0.095323,1.076784,2,cluster0
105,-0.17151,1.03576,2,cluster0
106,0.197704,0.877526,2,cluster0
107,0.133238,0.900968,2,cluster0
108,0.05119,0.971294,2,cluster0
109,0.004306,1.053342,2,cluster0
110,0.232867,0.971294,2,cluster0
111,0.150819,0.988876,2,cluster0
112,0.074632,1.047481,2,cluster0
113,0.139098,1.059202,2,cluster0
114,0.227006,1.041621,2,cluster0
115,0.309054,1.047481,2,cluster0
116,0.215285,1.111947,2,cluster0
117,0.127377,1.111947,2,cluster0
118,0.039469,1.106087,2,cluster0
119,-0.007415,1.14711,2,cluster0
120,0.057051,1.176413,2,cluster0
121,0.361799,1.164692,2,cluster0
122,0.297333,1.14711,2,cluster0
123,0.227006,1.182274,2,cluster0
124,0.144959,1.205716,2,cluster0
125,0.103935,1.276042,2,cluster0
126,0.168401,1.322927,2,cluster0
127,0.203564,1.24674,2,cluster0
128,0.273891,1.229158,2,cluster0
129,0.350078,1.240879,2,cluster0
130,0.303193,1.287763,2,cluster0
131,0.244588,1.322927,2,cluster0
132,0.209425,1.422556,2,cluster0
133,0.26803,1.393253,2,cluster0
134,0.332496,1.352229,2,cluster0
135,0.420404,1.293624,2,cluster0
136,0.426264,1.36395,2,cluster0
137,0.350078,1.410835,2,cluster0
138,0.297333,1.440137,2,cluster0
139,0.262169,1.510464,2,cluster0
140,0.320775,1.569069,2,cluster0
141,0.355938,1.492882,2,cluster0
142,0.420404,1.434277,2,cluster0
143,0.479009,1.440137,2,cluster0
144,0.496591,1.533906,2,cluster0
145,0.48487,1.598372,2,cluster0
146,0.414543,1.504603,2,cluster0
147,0.396962,1.586651,2,cluster0
148,0.391101,1.645256,2,cluster0
149,-0.312163,1.076784,2,cluster0
150,-0.235976,1.100226,2,cluster0
151,-0.265279,1.182274,2,cluster1
152,-0.376629,1.164692,2,cluster0
153,-0.552445,1.217437,2,cluster0
154,-0.446955,1.258461,1,cluster1
155,-0.347326,1.258461,1,cluster1
156,-0.277,1.317066,1,cluster1
157,-0.16565,1.24674,1,cluster1
158,-0.071881,1.235019,1,cluster0
159,-0.194952,1.346369,1,cluster1
160,-0.241837,1.36395,1,cluster1
161,-0.329745,1.381532,1,cluster1
162,-0.38249,1.328787,1,cluster1
163,-0.558306,1.305345,2,cluster1
164,-0.441095,1.404974,1,cluster1
165,-0.376629,1.457719,1,cluster1
166,-0.446955,1.46944,1,cluster1
167,-0.505561,1.434277,1,cluster1
168,-0.622772,1.475301,1,cluster1
169,-0.687237,1.58079,1,cluster1
170,-0.540724,1.504603,1,cluster1
171,-0.300442,1.481161,1,cluster1
172,-0.259418,1.422556,1,cluster1
173,-0.17151,1.445998,1,cluster1
174,-0.077742,1.410835,1,cluster1
175,-0.030857,1.522185,1,cluster1
176,-0.136347,1.522185,1,cluster1
177,-0.224255,1.516324,1,cluster1
178,-0.277,1.545627,1,cluster1
179,-0.364908,1.528045,1,cluster1
180,-0.441095,1.557348,1,cluster1
181,-0.4997,1.57493,1,cluster1
182,-0.570027,1.592511,1,cluster1
183,-0.634493,1.662838,1,cluster1
184,-0.523142,1.645256,1,cluster1
185,-0.452816,1.651117,1,cluster1
186,-0.405932,1.598372,1,cluster1
187,-0.376629,1.639396,1,cluster1
188,-0.312163,1.615953,1,cluster1
189,-0.194952,1.57493,1,cluster1
190,-0.124626,1.610093,1,cluster1
191,-0.048439,1.604232,1,cluster1
192,0.04533,1.656977,1,cluster1
193,-0.235976,1.651117,1,cluster1
194,-0.704819,1.69214,1,cluster1
195,-0.728261,1.791769,1,cluster1
196,-0.71068,1.873817,1,cluster1
197,-0.634493,1.955865,1,cluster1
198,-0.552445,1.967586,1,cluster1
199,-0.405932,2.067215,1,cluster1
200,-0.294581,2.067215,1,cluster1
201,-0.189092,2.037912,1,cluster1
202,-0.083602,2.02033,1,cluster1
203,-0.001555,1.938283,1,cluster1
204,0.068772,1.832793,1,?
205,-0.007415,1.756606,1,cluster1
206,-0.089463,1.703861,1,cluster1
207,-0.16565,1.668698,1,cluster1
208,-0.136347,1.739025,1,cluster1
209,-0.089463,1.803491,1,cluster1
210,-0.048439,1.885538,1,cluster1
211,-0.107044,1.950004,1,cluster1
212,-0.136347,1.856235,1,cluster1
213,-0.212534,1.920701,1,cluster1
214,-0.224255,1.856235,1,cluster1
215,-0.189092,1.785909,1,cluster1
216,-0.241837,1.79763,1,cluster1
217,-0.224255,1.727304,1,cluster1
218,-0.312163,1.69214,1,cluster1
219,-0.28286,1.744885,1,cluster1
220,-0.364908,1.698001,1,cluster1
221,-0.435234,1.721443,1,cluster1
222,-0.517282,1.703861,1,cluster1
223,-0.622772,1.774188,1,cluster1
224,-0.581748,1.826933,1,cluster1
225,-0.517282,1.891399,1,cluster1
226,-0.517282,1.791769,1,cluster1
227,-0.441095,1.785909,1,cluster1
228,-0.370768,1.768327,1,cluster1
229,-0.300442,1.791769,1,cluster1
230,-0.38835,1.815212,1,cluster1
231,-0.446955,1.856235,1,cluster1
232,-0.405932,1.891399,1,cluster1
233,-0.394211,1.950004,1,cluster1
234,-0.265279,1.955865,1,cluster1
235,-0.288721,1.90312,1,cluster1
236,-0.288721,1.838654,1,cluster1
237,-0.341466,1.862096,1,cluster1
238,-0.359047,2.01447,1,cluster1
239,-0.446955,1.985167,1,cluster1
