@relation ClusteringDatasets/Path-based_clustered

@attribute Instance_number numeric
@attribute f0 numeric
@attribute f1 numeric
@attribute f2 {1,2,3}
@attribute Cluster {cluster0,cluster1}

@data
0,-0.146847,-0.792812,1,?
1,-0.178103,-0.829278,1,?
2,-0.29271,-0.714671,1,?
3,-0.29792,-0.719881,1,?
4,-0.365642,-0.610483,1,?
5,-0.417736,-0.631321,1,?
6,-0.443783,-0.537552,1,?
7,-0.495877,-0.511505,1,?
8,-0.594855,-0.412526,1,?
9,-0.563599,-0.303129,1,cluster0
10,-0.558389,-0.251035,1,cluster0
11,-0.704252,-0.20415,1,cluster0
12,-0.709462,-0.089544,1,cluster0
13,-0.646949,-0.063497,1,cluster0
14,-0.72509,0.030272,1,cluster0
15,-0.761556,0.082366,1,cluster0
16,-0.756346,0.207392,1,cluster0
17,-0.829278,0.228229,1,cluster0
18,-0.756346,0.285533,1,cluster0
19,-0.787603,0.374092,1,cluster0
20,-0.719881,0.420977,1,cluster0
21,-0.81365,0.519956,1,cluster0
22,-0.798021,0.556421,1,cluster0
23,-0.688624,0.556421,1,cluster0
24,-0.72509,0.707494,1,cluster0
25,-0.766765,0.717913,1,cluster0
26,-0.709462,0.895032,1,cluster0
27,-0.683415,0.905451,1,cluster0
28,-0.63653,0.988801,1,?
29,-0.704252,1.056523,1,?
30,-0.574017,1.150292,1,?
31,-0.615693,1.207596,1,?
32,-0.490667,1.249271,1,?
33,-0.511505,1.316993,1,?
34,-0.402107,1.395134,1,?
35,-0.396898,1.488903,1,?
36,-0.344804,1.540997,1,?
37,-0.282291,1.504531,1,?
38,-0.146847,1.619138,1,?
39,-0.20415,1.655604,1,?
40,-0.073916,1.749373,1,?
41,-0.073916,1.666022,1,?
42,0.045901,1.811886,1,?
43,0.077157,1.733745,1,?
44,0.212601,1.827514,1,?
45,0.212601,1.869189,1,?
46,0.358464,1.848351,1,cluster1
47,0.358464,1.916073,1,cluster1
48,0.509537,1.890026,1,cluster1
49,0.519956,1.989005,1,cluster1
50,0.613725,1.973377,1,cluster1
51,0.644981,1.869189,1,cluster1
52,0.749169,1.900445,1,cluster1
53,0.775216,1.94212,1,cluster1
54,0.921079,1.94733,1,cluster1
55,0.853357,1.848351,1,cluster1
56,1.072151,1.811886,1,?
57,1.119036,1.837933,1,?
58,1.202386,1.796257,1,?
59,1.25969,1.806676,1,?
60,1.34304,1.733745,1,?
61,1.34304,1.645185,1,?
62,1.462856,1.629557,1,?
63,1.478484,1.676441,1,?
64,1.556625,1.509741,1,?
65,1.624347,1.535788,1,?
66,1.707698,1.494112,1,?
67,1.707698,1.410762,1,?
68,1.749373,1.34304,1,?
69,1.811886,1.34304,1,?
70,1.837933,1.108617,1,?
71,1.869189,1.176339,1,?
72,1.900445,1.051314,1,?
73,1.910864,1.004429,1,?
74,1.874398,0.900241,1,cluster0
75,1.94212,0.848147,1,cluster0
76,1.999424,0.889823,1,cluster0
77,1.957749,0.691866,1,cluster0
78,2.087983,0.691866,1,cluster0
79,2.004633,0.546002,1,cluster0
80,2.124449,0.561631,1,cluster0
81,2.098402,0.410558,1,cluster0
82,2.03589,0.379302,1,cluster0
83,2.056727,0.259486,1,cluster0
84,1.994214,0.217811,1,cluster0
85,2.051518,0.061529,1,cluster0
86,1.978586,0.071948,1,cluster0
87,1.926492,-0.063497,1,cluster0
88,2.015052,-0.079125,1,cluster0
89,1.916073,-0.245826,1,cluster0
90,2.009843,-0.235407,1,cluster0
91,1.811886,-0.323966,1,cluster0
92,1.85877,-0.459411,1,?
93,1.765001,-0.459411,1,?
94,1.785839,-0.527133,1,?
95,1.702488,-0.584436,1,?
96,1.702488,-0.620902,1,?
97,1.556625,-0.699043,1,?
98,1.613929,-0.751137,1,?
99,1.442018,-0.818859,1,?
100,1.4316,-0.860534,1,?
101,1.369087,-0.938675,1,?
102,1.337831,-0.891791,1,?
103,1.973377,0.410558,1,cluster0
104,1.879608,0.493909,1,cluster0
105,1.77021,0.551212,1,cluster0
106,1.718116,0.400139,1,cluster0
107,1.85877,0.301161,1,cluster0
108,1.801467,0.092785,3,cluster0
109,1.806676,-0.084334,1,cluster0
110,1.666022,0.150088,3,cluster0
111,1.540997,-0.188522,3,cluster0
112,1.4316,-0.198941,3,cluster0
113,1.290946,-0.266663,3,cluster0
114,1.410762,-0.115591,3,cluster0
115,1.51495,0.066738,3,cluster0
116,1.629557,0.186554,3,cluster0
117,1.593091,0.207392,3,cluster0
118,1.593091,0.212601,3,cluster0
119,1.092989,-0.172894,3,cluster0
120,1.066942,-0.110381,3,cluster0
121,1.17113,-0.110381,3,cluster0
122,1.238852,-0.110381,3,cluster0
123,1.165921,-0.021822,3,cluster0
124,1.113827,0.045901,3,cluster0
125,1.270108,0.056319,3,cluster0
126,1.296155,-0.042659,3,cluster0
127,1.301365,-0.016612,3,cluster0
128,1.353459,0.025063,3,cluster0
129,1.358668,0.087576,3,cluster0
130,1.421181,0.066738,3,cluster0
131,1.504531,0.196973,3,cluster0
132,1.509741,0.202182,3,cluster0
133,1.4316,0.176135,3,cluster0
134,1.4316,0.176135,3,cluster0
135,1.363878,0.196973,3,cluster0
136,1.363878,0.233439,3,cluster0
137,1.322202,0.207392,3,cluster0
138,1.150292,0.196973,3,cluster0
139,1.186758,0.233439,3,cluster0
140,1.145083,0.275114,3,cluster0
141,1.051314,0.191764,3,cluster0
142,0.973173,0.13967,3,cluster0
143,0.858566,0.030272,3,cluster0
144,0.796053,0.045901,3,cluster0
145,0.99401,0.39493,3,cluster0
146,0.988801,0.415768,3,cluster0
147,1.014848,0.259486,3,cluster0
148,0.988801,0.264695,3,cluster0
149,1.176339,0.342836,3,cluster0
150,1.207596,0.358464,3,cluster0
151,1.264899,0.358464,3,cluster0
152,1.301365,0.363674,3,cluster0
153,1.337831,0.420977,3,cluster0
154,1.363878,0.436605,3,cluster0
155,1.410762,0.436605,3,cluster0
156,1.415971,0.441815,3,cluster0
157,1.415971,0.384511,3,cluster0
158,1.468065,0.368883,3,cluster0
159,1.535788,0.363674,3,cluster0
160,1.556625,0.436605,3,cluster0
161,1.488903,0.473071,3,cluster0
162,1.421181,0.56684,3,cluster0
163,1.551416,0.551212,3,cluster0
164,1.567044,0.514746,3,cluster0
165,1.624347,0.582468,3,cluster0
166,1.681651,0.676237,3,cluster0
167,1.650394,0.676237,3,cluster0
168,1.608719,0.697075,3,cluster0
169,1.60351,0.796053,3,cluster0
170,1.525369,0.816891,3,cluster0
171,1.504531,0.931498,3,cluster0
172,1.468065,0.712703,3,cluster0
173,1.442018,0.764797,3,cluster0
174,1.379506,0.74396,3,cluster0
175,1.296155,0.74396,3,cluster0
176,1.25969,0.837729,3,cluster0
177,1.218014,0.8221,3,cluster0
178,1.134664,0.801263,3,cluster0
179,1.212805,0.733541,3,cluster0
180,1.275318,0.660609,3,cluster0
181,1.25448,0.431396,3,cluster0
182,1.218014,0.431396,3,cluster0
183,1.223224,0.467862,3,cluster0
184,1.275318,0.48349,3,cluster0
185,1.218014,0.525165,3,cluster0
186,1.280527,0.535584,3,cluster0
187,1.280527,0.561631,3,cluster0
188,1.223224,0.592887,3,cluster0
189,1.145083,0.618934,3,cluster0
190,1.061733,0.65019,3,cluster0
191,1.014848,0.832519,3,cluster0
192,1.025267,0.535584,3,cluster0
193,1.020057,0.582468,3,cluster0
194,0.931498,0.525165,3,cluster0
