@relation ClusteringDatasets/Spiral_clustered

@attribute Instance_number numeric
@attribute f0 numeric
@attribute f1 numeric
@attribute f2 {1,2,3}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,2.114577,-0.462382,3,?
1,2.028678,-0.532175,3,?
2,1.953517,-0.601967,3,?
3,1.872987,-0.67176,3,?
4,1.787088,-0.720078,3,?
5,1.695821,-0.779133,3,?
6,1.604554,-0.827451,3,?
7,1.513286,-0.8704,3,?
8,1.411282,-0.902612,3,?
9,1.325383,-0.929456,3,?
10,1.21801,-0.961668,3,?
11,1.126743,-0.977774,3,?
12,1.030107,-0.988511,3,?
13,0.928102,-0.99388,3,?
14,0.831466,-1.004617,3,?
15,0.73483,-0.99388,3,?
16,0.638194,-0.972405,3,?
17,0.541558,-0.967036,3,?
18,0.461028,-0.940193,3,?
19,0.369761,-0.918718,3,?
20,0.278494,-0.875769,3,?
21,0.203332,-0.843557,3,?
22,0.122802,-0.805976,3,?
23,0.047641,-0.757658,3,?
24,-0.022151,-0.70934,3,?
25,-0.086575,-0.655654,3,?
26,-0.145631,-0.601967,3,?
27,-0.210055,-0.537543,3,?
28,-0.274479,-0.473119,3,?
29,-0.312059,-0.419433,3,?
30,-0.360377,-0.344271,3,?
31,-0.397958,-0.279847,3,?
32,-0.440907,-0.204686,3,?
33,-0.462382,-0.140262,3,?
34,-0.483857,-0.059732,3,?
35,-0.505331,0.010061,3,?
36,-0.516069,0.079853,3,?
37,-0.526806,0.160383,3,?
38,-0.532175,0.224807,3,?
39,-0.526806,0.289231,3,?
40,-0.526806,0.37513,3,?
41,-0.505331,0.439554,3,?
42,-0.489225,0.503978,3,?
43,-0.478488,0.568402,3,?
44,-0.451645,0.632826,3,?
45,-0.424801,0.69725,3,?
46,-0.387221,0.756305,3,?
47,-0.360377,0.81536,3,?
48,-0.317428,0.863678,3,?
49,-0.279847,0.917365,3,?
50,-0.220792,0.965683,3,?
51,-0.177843,1.008632,3,?
52,-0.124156,1.062319,3,?
53,-0.075838,1.094531,3,?
54,-0.032889,1.121374,3,?
55,0.031535,1.153586,3,?
56,0.085222,1.175061,3,?
57,0.128171,1.196535,3,?
58,0.187226,1.212641,3,?
59,0.246282,1.21801,3,?
60,0.305337,1.234116,3,?
61,0.369761,1.234116,3,?
62,0.418079,1.244853,3,?
63,0.477134,1.239485,3,?
64,0.525452,1.234116,3,?
65,0.589876,1.234116,3,?
66,0.638194,1.21801,3,?
67,0.686512,1.207273,3,?
68,0.73483,1.191167,3,?
69,0.788517,1.169692,3,?
70,0.831466,1.148217,3,?
71,0.874415,1.121374,3,?
72,0.906627,1.105268,3,?
73,0.938839,1.062319,3,?
74,0.987157,1.040844,3,cluster0
75,1.019369,0.997895,3,cluster0
76,1.046213,0.965683,3,cluster0
77,1.073056,0.938839,3,cluster0
78,1.099899,0.906627,3,cluster0
79,1.116005,0.869047,3,cluster0
80,1.126743,0.836835,3,cluster0
81,1.142849,0.793885,3,cluster0
82,1.153586,0.761673,3,cluster0
83,1.164323,0.724093,3,cluster0
84,1.169692,0.686512,3,cluster0
85,1.175061,0.643563,3,cluster0
86,1.175061,0.622088,3,cluster0
87,1.175061,0.595245,3,cluster0
88,1.164323,0.557664,3,cluster0
89,1.158955,0.525452,3,cluster0
90,1.142849,0.498609,3,cluster0
91,1.13748,0.466397,3,cluster0
92,1.121374,0.444922,3,cluster0
93,1.110637,0.423448,3,cluster0
94,1.105268,0.407342,3,cluster0
95,1.089162,0.396604,3,cluster0
96,1.083793,0.380498,3,cluster0
97,1.067687,0.364392,3,cluster0
98,1.062319,0.353655,3,cluster0
99,1.046213,0.337549,3,cluster0
100,1.035475,0.326812,3,cluster0
101,1.030107,0.321443,3,cluster0
102,1.019369,0.310706,3,cluster0
103,1.008632,0.299968,3,cluster0
104,0.997895,0.2946,3,cluster0
105,0.992526,0.283862,3,cluster0
106,0.761673,2.082365,1,?
107,0.869047,2.06089,1,?
108,0.97642,2.02331,1,?
109,1.073056,2.001835,1,?
110,1.175061,1.953517,1,?
111,1.255591,1.910568,1,?
112,1.357595,1.867618,1,?
113,1.432757,1.803194,1,?
114,1.513286,1.744139,1,?
115,1.599185,1.679715,1,?
116,1.663609,1.62066,1,?
117,1.722664,1.54013,1,?
118,1.792457,1.4596,1,?
119,1.851512,1.384439,1,?
120,1.89983,1.309277,1,?
121,1.948148,1.228747,1,?
122,1.969623,1.142849,1,?
123,2.001835,1.05695,1,?
124,2.039416,0.971051,1,?
125,2.050153,0.890521,1,?
126,2.066259,0.799254,1,?
127,2.071628,0.713356,1,?
128,2.082365,0.632826,1,?
129,2.076996,0.546927,1,?
130,2.06089,0.461028,1,?
131,2.044784,0.380498,1,?
132,2.028678,0.299968,1,?
133,2.001835,0.224807,1,?
134,1.969623,0.149646,1,?
135,1.937411,0.079853,1,?
136,1.894462,0.004692,1,?
137,1.851512,-0.054363,1,?
138,1.797826,-0.118787,1,?
139,1.744139,-0.177843,1,?
140,1.690452,-0.231529,1,?
141,1.642134,-0.279847,1,?
142,1.572342,-0.338903,1,?
143,1.502549,-0.371115,1,?
144,1.443494,-0.414064,1,?
145,1.384439,-0.451645,1,?
146,1.314646,-0.483857,1,?
147,1.250222,-0.494594,1,?
148,1.169692,-0.521437,1,?
149,1.099899,-0.532175,1,?
150,1.035475,-0.553649,1,?
151,0.965683,-0.559018,1,?
152,0.885153,-0.564387,1,?
153,0.820729,-0.569755,1,?
154,0.750936,-0.559018,1,?
155,0.69725,-0.553649,1,?
156,0.622088,-0.537543,1,?
157,0.563033,-0.526806,1,?
158,0.498609,-0.499963,1,?
159,0.439554,-0.478488,1,?
160,0.380498,-0.451645,1,?
161,0.337549,-0.419433,1,?
162,0.283862,-0.381852,1,?
163,0.235544,-0.360377,1,?
164,0.181858,-0.317428,1,?
165,0.144277,-0.279847,1,?
166,0.106696,-0.231529,1,?
167,0.074484,-0.183211,1,?
168,0.042272,-0.145631,1,?
169,0.010061,-0.091944,1,?
170,-0.006045,-0.054363,1,?
171,-0.032889,-0.006045,1,?
172,-0.048995,0.042272,1,?
173,-0.054363,0.085222,1,?
174,-0.075838,0.144277,1,?
175,-0.075838,0.187226,1,?
176,-0.075838,0.224807,1,?
177,-0.075838,0.262388,1,?
178,-0.070469,0.321443,1,?
179,-0.065101,0.369761,1,?
180,-0.048995,0.407342,1,cluster1
181,-0.043626,0.45566,1,cluster1
182,-0.02752,0.482503,1,cluster1
183,-0.011414,0.530821,1,cluster1
184,0.004692,0.57377,1,cluster1
185,0.031535,0.600614,1,cluster1
186,0.058378,0.622088,1,cluster1
187,0.09059,0.659669,1,cluster1
188,0.112065,0.681144,1,cluster1
189,0.138908,0.707987,1,cluster1
190,0.165752,0.729462,1,cluster1
191,0.203332,0.750936,1,cluster1
192,0.235544,0.777779,1,cluster1
193,0.278494,0.783148,1,cluster1
194,0.2946,0.799254,1,cluster1
195,0.321443,0.799254,1,cluster1
196,0.353655,0.81536,1,cluster1
197,0.396604,0.820729,1,cluster1
198,0.423448,0.820729,1,cluster1
199,0.461028,0.820729,1,cluster1
200,0.49324,0.820729,1,cluster1
201,0.530821,0.820729,1,cluster1
202,0.552296,0.809991,1,cluster1
203,0.579139,0.804623,1,cluster1
204,0.595245,0.799254,1,cluster1
205,0.61672,0.788517,1,cluster1
206,0.638194,0.783148,1,cluster1
207,-0.897244,-0.285216,2,?
208,-0.934824,-0.172474,2,?
209,-0.956299,-0.091944,2,?
210,-0.983142,0.010061,2,?
211,-0.983142,0.106696,2,?
212,-0.988511,0.203332,2,?
213,-0.99388,0.305337,2,?
214,-0.983142,0.401973,2,?
215,-0.972405,0.49324,2,?
216,-0.945562,0.589876,2,?
217,-0.918718,0.691881,2,?
218,-0.891875,0.783148,2,?
219,-0.848926,0.858309,2,?
220,-0.811345,0.949577,2,?
221,-0.763027,1.024738,2,?
222,-0.714709,1.099899,2,?
223,-0.650285,1.185798,2,?
224,-0.585861,1.244853,2,?
225,-0.526806,1.309277,2,?
226,-0.451645,1.362964,2,?
227,-0.371115,1.416651,2,?
228,-0.295953,1.475706,2,?
229,-0.220792,1.513286,2,?
230,-0.145631,1.556236,2,?
231,-0.059732,1.583079,2,?
232,0.020798,1.609922,2,?
233,0.112065,1.647503,2,?
234,0.192595,1.647503,2,?
235,0.262388,1.663609,2,?
236,0.353655,1.663609,2,?
237,0.444922,1.663609,2,?
238,0.520084,1.663609,2,?
239,0.605982,1.663609,2,?
240,0.675775,1.65824,2,?
241,0.761673,1.647503,2,?
242,0.842203,1.62066,2,?
243,0.906627,1.593816,2,?
244,0.987157,1.561604,2,?
245,1.051581,1.529392,2,?
246,1.121374,1.491812,2,?
247,1.191167,1.438125,2,?
248,1.239485,1.400545,2,?
249,1.293171,1.352227,2,?
250,1.341489,1.29854,2,?
251,1.395176,1.255591,2,?
252,1.438125,1.201904,2,?
253,1.481074,1.153586,2,?
254,1.49718,1.078425,2,?
255,1.54013,1.024738,2,?
256,1.556236,0.965683,2,?
257,1.583079,0.906627,2,?
258,1.599185,0.847572,2,?
259,1.599185,0.788517,2,?
260,1.62066,0.73483,2,?
261,1.62066,0.665038,2,?
262,1.626028,0.61672,2,?
263,1.615291,0.552296,2,?
264,1.599185,0.498609,2,?
265,1.583079,0.444922,2,?
266,1.583079,0.391236,2,?
267,1.556236,0.33218,2,?
268,1.534761,0.278494,2,?
269,1.507918,0.235544,2,?
270,1.470337,0.197964,2,?
271,1.448863,0.155014,2,?
272,1.405913,0.112065,2,?
273,1.373701,0.074484,2,?
274,1.346858,0.047641,2,?
275,1.303909,0.020798,2,?
276,1.266328,-0.006045,2,?
277,1.212641,-0.043626,2,?
278,1.175061,-0.065101,2,?
279,1.126743,-0.091944,2,?
280,1.078425,-0.102681,2,?
281,1.035475,-0.124156,2,cluster2
282,0.987157,-0.129525,2,cluster2
283,0.949577,-0.134893,2,cluster2
284,0.906627,-0.140262,2,cluster2
285,0.869047,-0.140262,2,cluster2
286,0.826097,-0.134893,2,cluster2
287,0.783148,-0.134893,2,cluster2
288,0.740199,-0.129525,2,cluster2
289,0.707987,-0.124156,2,cluster2
290,0.665038,-0.10805,2,cluster2
291,0.632826,-0.097313,2,cluster2
292,0.600614,-0.081207,2,cluster2
293,0.563033,-0.059732,2,cluster2
294,0.530821,-0.032889,2,cluster2
295,0.509346,-0.022151,2,cluster2
296,0.482503,-0.006045,2,cluster2
297,0.471766,0.010061,2,cluster2
298,0.45566,0.026167,2,cluster2
299,0.439554,0.047641,2,cluster2
300,0.423448,0.058378,2,cluster2
301,0.418079,0.074484,2,cluster2
302,0.401973,0.09059,2,cluster2
303,0.396604,0.106696,2,cluster2
304,0.391236,0.122802,2,cluster2
305,0.380498,0.13354,2,cluster2
306,0.380498,0.149646,2,cluster2
307,0.37513,0.17112,2,cluster2
308,0.364392,0.192595,2,cluster2
309,0.364392,0.21407,2,cluster2
310,0.364392,0.240913,2,cluster2
311,0.364392,0.25165,2,cluster2
