@relation ClusteringDatasets/Path-based_clustered

@attribute Instance_number numeric
@attribute f0 numeric
@attribute f1 numeric
@attribute f2 {1,2,3}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,-0.146847,-0.792812,1,cluster0
1,-0.178103,-0.829278,1,cluster0
2,-0.29271,-0.714671,1,cluster0
3,-0.29792,-0.719881,1,cluster0
4,-0.365642,-0.610483,1,cluster0
5,-0.417736,-0.631321,1,cluster0
6,-0.443783,-0.537552,1,cluster0
7,-0.495877,-0.511505,1,cluster0
8,-0.594855,-0.412526,1,cluster0
9,-0.563599,-0.303129,1,cluster0
10,-0.558389,-0.251035,1,cluster0
11,-0.704252,-0.20415,1,cluster0
12,-0.709462,-0.089544,1,cluster0
13,-0.646949,-0.063497,1,cluster0
14,-0.72509,0.030272,1,cluster0
15,-0.761556,0.082366,1,cluster0
16,-0.756346,0.207392,1,cluster0
17,-0.829278,0.228229,1,cluster0
18,-0.756346,0.285533,1,cluster0
19,-0.787603,0.374092,1,cluster0
20,-0.719881,0.420977,1,cluster0
21,-0.81365,0.519956,1,cluster0
22,-0.798021,0.556421,1,cluster0
23,-0.688624,0.556421,1,cluster0
24,-0.72509,0.707494,1,cluster0
25,-0.766765,0.717913,1,cluster0
26,-0.709462,0.895032,1,cluster0
27,-0.683415,0.905451,1,cluster0
28,-0.63653,0.988801,1,cluster0
29,-0.704252,1.056523,1,cluster0
30,-0.574017,1.150292,1,cluster0
31,-0.615693,1.207596,1,cluster0
32,-0.490667,1.249271,1,cluster0
33,-0.511505,1.316993,1,cluster0
34,-0.402107,1.395134,1,cluster1
35,-0.396898,1.488903,1,cluster1
36,-0.344804,1.540997,1,cluster1
37,-0.282291,1.504531,1,cluster1
38,-0.146847,1.619138,1,cluster1
39,-0.20415,1.655604,1,cluster1
40,-0.073916,1.749373,1,cluster1
41,-0.073916,1.666022,1,cluster1
42,0.045901,1.811886,1,cluster1
43,0.077157,1.733745,1,cluster1
44,0.212601,1.827514,1,cluster1
45,0.212601,1.869189,1,cluster1
46,0.358464,1.848351,1,cluster1
47,0.358464,1.916073,1,cluster1
48,0.509537,1.890026,1,cluster1
49,0.519956,1.989005,1,cluster1
50,0.613725,1.973377,1,cluster1
51,0.644981,1.869189,1,cluster1
52,0.749169,1.900445,1,cluster1
53,0.775216,1.94212,1,cluster1
54,0.921079,1.94733,1,cluster1
55,0.853357,1.848351,1,cluster1
56,1.072151,1.811886,1,cluster1
57,1.119036,1.837933,1,cluster1
58,1.202386,1.796257,1,cluster1
59,1.25969,1.806676,1,cluster1
60,1.34304,1.733745,1,cluster1
61,1.34304,1.645185,1,cluster1
62,1.462856,1.629557,1,cluster1
63,1.478484,1.676441,1,cluster1
64,1.556625,1.509741,1,cluster1
65,1.624347,1.535788,1,cluster1
66,1.707698,1.494112,1,cluster1
67,1.707698,1.410762,1,cluster1
68,1.749373,1.34304,1,cluster1
69,1.811886,1.34304,1,cluster1
70,1.837933,1.108617,1,cluster2
71,1.869189,1.176339,1,cluster2
72,1.900445,1.051314,1,cluster2
