@relation ClusteringDatasets/D31_clustered

@attribute Instance_number numeric
@attribute f0 numeric
@attribute f1 numeric
@attribute f2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
0,1.088615,-1.404547,1,cluster0
1,1.296552,-1.19869,1,cluster0
2,1.116241,-1.340087,1,cluster0
3,1.111488,-1.534062,1,cluster0
4,1.179216,-1.48089,1,cluster0
5,0.962962,-1.414647,1,cluster0
6,1.117132,-1.259883,1,cluster0
7,1.037225,-1.340384,1,cluster0
8,1.338139,-1.290182,1,cluster0
9,1.178028,-1.330878,1,cluster0
10,1.272787,-1.147003,1,cluster0
11,1.306354,-1.568817,1,cluster0
12,1.363685,-1.333552,1,cluster0
13,1.14654,-1.414053,1,cluster0
14,1.120994,-1.353454,1,cluster0
15,0.870281,-1.415835,1,cluster0
16,1.152778,-1.4093,1,cluster0
17,1.239517,-1.40633,1,cluster0
18,1.196148,-1.329393,1,cluster0
19,1.012866,-1.403953,1,cluster0
20,1.052374,-1.274141,1,cluster0
21,1.124261,-1.417618,1,cluster0
22,1.211,-1.519804,1,cluster0
23,1.08505,-1.336522,1,cluster0
24,1.188424,-1.270577,1,cluster0
25,1.137331,-1.335334,1,cluster0
26,1.384776,-1.311273,1,cluster0
27,1.033363,-1.356722,1,cluster0
28,1.356556,-1.357613,1,cluster0
29,1.169413,-1.383754,1,cluster0
30,1.15159,-1.323155,1,cluster0
31,1.088318,-1.364148,1,cluster0
32,1.28764,-1.35999,1,cluster0
33,1.110003,-1.145518,1,cluster0
34,1.114161,-1.417321,1,cluster0
35,1.074356,-1.498713,1,cluster0
36,1.11832,-1.172252,1,cluster0
37,1.058612,-1.35494,1,cluster0
38,1.212486,-1.263745,1,cluster0
39,1.084753,-1.299094,1,cluster0
40,1.102873,-1.332364,1,cluster0
41,1.197633,-1.444352,1,cluster0
42,1.060989,-1.444055,1,cluster0
43,1.140896,-1.281271,1,cluster0
44,1.174463,-1.43455,1,cluster0
45,1.304275,-1.534359,1,cluster0
46,1.012866,-1.210869,1,cluster0
47,1.034551,-1.456235,1,cluster0
48,1.175651,-1.277706,1,cluster0
49,1.355368,-1.41138,1,cluster0
50,1.275164,-1.384348,1,cluster0
51,1.096932,-1.347216,1,cluster0
52,1.160799,-1.162747,1,cluster0
53,1.250211,-1.271171,1,cluster0
54,1.055048,-1.338008,1,cluster0
55,1.094853,-1.397715,1,cluster0
56,1.144461,-1.240871,1,cluster0
57,1.13644,-1.202255,1,cluster0
58,1.35715,-1.248298,1,cluster0
59,0.995934,-1.479405,1,cluster0
60,1.033363,-1.412271,1,cluster0
61,1.148916,-1.523963,1,cluster0
62,1.261499,-1.237604,1,cluster0
63,0.992073,-1.516239,1,cluster0
