@relation ClusteringDatasets/D31_clustered

@attribute Instance_number numeric
@attribute f0 numeric
@attribute f1 numeric
@attribute f2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39,cluster40,cluster41,cluster42,cluster43,cluster44,cluster45,cluster46,cluster47,cluster48,cluster49,cluster50,cluster51,cluster52,cluster53,cluster54,cluster55}

@data
0,1.088615,-1.404547,1,cluster22
1,1.296552,-1.19869,1,cluster7
2,1.116241,-1.340087,1,cluster22
3,1.111488,-1.534062,1,cluster22
4,1.179216,-1.48089,1,cluster22
5,0.962962,-1.414647,1,cluster22
6,1.117132,-1.259883,1,cluster7
7,1.037225,-1.340384,1,cluster22
8,1.338139,-1.290182,1,cluster7
9,1.178028,-1.330878,1,cluster7
10,1.272787,-1.147003,1,cluster7
11,1.306354,-1.568817,1,cluster22
12,1.363685,-1.333552,1,cluster7
13,1.14654,-1.414053,1,cluster22
14,1.120994,-1.353454,1,cluster22
15,0.870281,-1.415835,1,cluster49
16,1.152778,-1.4093,1,cluster22
17,1.239517,-1.40633,1,cluster7
18,1.196148,-1.329393,1,cluster7
19,1.012866,-1.403953,1,cluster22
20,1.052374,-1.274141,1,cluster22
21,1.124261,-1.417618,1,cluster22
22,1.211,-1.519804,1,cluster22
23,1.08505,-1.336522,1,cluster22
24,1.188424,-1.270577,1,cluster7
25,1.137331,-1.335334,1,cluster22
26,1.384776,-1.311273,1,cluster7
27,1.033363,-1.356722,1,cluster22
28,1.356556,-1.357613,1,cluster7
29,1.169413,-1.383754,1,cluster22
30,1.15159,-1.323155,1,cluster7
31,1.088318,-1.364148,1,cluster22
32,1.28764,-1.35999,1,cluster7
33,1.110003,-1.145518,1,cluster17
34,1.114161,-1.417321,1,cluster22
35,1.074356,-1.498713,1,cluster22
36,1.11832,-1.172252,1,cluster7
37,1.058612,-1.35494,1,cluster22
38,1.212486,-1.263745,1,cluster7
39,1.084753,-1.299094,1,cluster22
40,1.102873,-1.332364,1,cluster22
41,1.197633,-1.444352,1,cluster22
42,1.060989,-1.444055,1,cluster22
43,1.140896,-1.281271,1,cluster7
44,1.174463,-1.43455,1,cluster22
45,1.304275,-1.534359,1,cluster22
46,1.012866,-1.210869,1,cluster17
47,1.034551,-1.456235,1,cluster22
48,1.175651,-1.277706,1,cluster7
49,1.355368,-1.41138,1,cluster7
50,1.275164,-1.384348,1,cluster7
51,1.096932,-1.347216,1,cluster22
52,1.160799,-1.162747,1,cluster7
53,1.250211,-1.271171,1,cluster7
54,1.055048,-1.338008,1,cluster22
55,1.094853,-1.397715,1,cluster22
56,1.144461,-1.240871,1,cluster7
57,1.13644,-1.202255,1,cluster7
58,1.35715,-1.248298,1,cluster7
59,0.995934,-1.479405,1,cluster22
60,1.033363,-1.412271,1,cluster22
61,1.148916,-1.523963,1,cluster22
62,1.261499,-1.237604,1,cluster7
63,0.992073,-1.516239,1,cluster22
64,1.150105,-1.509704,1,cluster22
65,1.068712,-1.217998,1,cluster7
66,1.052671,-1.35999,1,cluster22
67,1.286749,-1.26315,1,cluster7
68,1.164066,-1.418806,1,cluster22
69,1.31081,-1.432173,1,cluster7
70,1.063068,-1.43455,1,cluster22
71,1.19288,-1.472572,1,cluster22
72,1.114755,-1.427123,1,cluster22
73,1.144461,-1.509704,1,cluster22
74,1.152184,-1.373951,1,cluster22
75,0.847408,-1.406627,1,cluster49
76,1.432008,-1.339196,1,cluster7
77,1.097526,-1.546242,1,cluster22
78,1.114755,-1.427718,1,cluster22
79,1.148322,-1.325828,1,cluster7
80,1.369329,-1.427123,1,cluster7
81,1.037819,-1.372763,1,cluster22
82,1.106438,-1.436629,1,cluster22
83,1.113567,-1.377219,1,cluster22
84,1.056236,-1.576541,1,cluster22
85,1.246647,-1.425044,1,cluster7
86,1.19496,-1.30147,1,cluster7
87,1.034551,-1.275033,1,cluster22
88,1.066039,-1.570006,1,cluster22
89,1.269223,-1.281568,1,cluster7
90,1.101091,-1.38108,1,cluster22
91,1.029204,-1.397715,1,cluster22
92,1.171789,-1.373654,1,cluster22
93,1.255558,-1.37811,1,cluster7
94,1.317345,-1.414944,1,cluster7
95,1.228527,-1.49901,1,cluster22
96,1.115944,-1.461284,1,cluster22
97,1.034254,-1.264042,1,cluster22
98,1.185751,-1.346919,1,cluster7
99,1.214268,-1.170767,1,cluster7
100,0.241718,-0.521113,2,cluster14
101,0.198645,-0.526163,2,cluster14
102,0.173099,-0.79559,2,cluster50
103,0.146364,-0.581118,2,cluster14
104,0.111609,-0.769746,2,cluster50
105,0.011799,-0.650628,2,cluster50
106,0.082201,-0.629537,2,cluster14
107,0.112797,-0.653896,2,cluster14
108,0.280038,-0.791134,2,cluster50
109,0.224489,-0.61914,2,cluster14
110,0.075071,-0.626864,2,cluster14
111,0.043584,-0.773014,2,cluster50
112,0.085765,-0.559136,2,cluster14
113,0.096459,-0.653896,2,cluster50
114,0.176069,-0.660728,2,cluster14
115,0.181416,-0.517251,2,cluster14
116,0.062001,-0.445662,2,cluster14
117,0.116065,-0.613199,2,cluster14
118,0.114876,-0.727268,2,cluster50
119,0.021602,-0.569533,2,cluster14
120,0.064675,-0.64736,2,cluster50
121,0.257165,-0.677066,2,cluster14
122,0.019226,-0.676175,2,cluster50
123,-0.071673,-0.750438,2,cluster50
124,0.152602,-0.635478,2,cluster14
125,0.164781,-0.862426,2,cluster50
126,0.001996,-0.472396,2,cluster14
127,-0.02058,-0.77034,2,cluster50
128,0.244094,-0.617358,2,cluster14
129,0.16894,-0.572503,2,cluster14
130,0.127947,-0.407342,2,cluster14
131,0.015067,-0.722218,2,cluster50
132,0.237856,-0.633993,2,cluster14
133,0.095568,-0.596564,2,cluster14
134,0.12052,-0.698751,2,cluster50
135,0.137452,-0.669936,2,cluster14
136,0.244688,-0.871338,2,cluster50
137,-0.064246,-0.769449,2,cluster50
138,0.118738,-0.611417,2,cluster14
139,0.164484,-0.622111,2,cluster14
140,0.208448,-0.627161,2,cluster14
141,0.190922,-0.679145,2,cluster14
142,0.225083,-0.588841,2,cluster14
143,0.354004,-0.644984,2,cluster14
144,0.168049,-0.654193,2,cluster14
145,0.046851,-0.555868,2,cluster14
146,0.032593,-0.659243,2,cluster50
147,0.181416,-0.601911,2,cluster14
148,0.130026,-0.680927,2,cluster50
149,-0.0084,-0.682413,2,cluster50
150,0.208745,-0.665778,2,cluster14
151,0.153493,-0.664589,2,cluster14
152,-0.055929,-0.859456,2,cluster20
153,0.028731,-0.477743,2,cluster14
154,0.108638,-0.749249,2,cluster50
155,0.13062,-0.750141,2,cluster50
156,0.105371,-0.569533,2,cluster14
157,0.170425,-0.622111,2,cluster14
158,-0.000974,-0.58795,2,cluster50
159,-0.126924,-0.696671,2,cluster50
160,0.015364,-0.612605,2,cluster50
161,0.025464,-0.582009,2,cluster14
162,-0.090981,-0.672907,2,cluster50
163,0.156761,-0.615576,2,cluster14
164,0.138641,-0.604585,2,cluster14
165,0.028731,-0.769152,2,cluster50
166,0.247362,-0.642013,2,cluster14
167,0.072992,-0.599238,2,cluster14
168,0.236371,-0.694295,2,cluster14
169,0.035266,-0.712415,2,cluster50
170,0.196269,-0.597456,2,cluster14
171,0.023681,-0.709147,2,cluster50
172,0.112203,-0.800045,2,cluster50
173,-0.041076,-0.74212,2,cluster50
174,0.106262,-0.872526,2,cluster50
175,0.118441,-0.664292,2,cluster14
176,0.143394,-0.699048,2,cluster50
177,0.108935,-0.80064,2,cluster50
178,0.239936,-0.584682,2,cluster14
179,0.086062,-0.624487,2,cluster14
180,0.228053,-0.855,2,cluster50
181,0.132997,-0.660431,2,cluster14
182,0.113094,-0.602803,2,cluster14
183,0.12557,-0.676472,2,cluster50
184,0.143394,-0.641419,2,cluster14
185,0.357865,-0.524678,2,cluster14
186,0.173396,-0.529134,2,cluster14
187,0.054278,-0.679739,2,cluster50
188,0.127353,-0.633102,2,cluster14
189,0.304693,-0.635775,2,cluster14
190,0.074477,-0.519925,2,cluster14
191,0.03794,-0.66251,2,cluster50
192,0.088736,-0.701721,2,cluster50
193,0.299346,-0.635775,2,cluster14
194,0.061407,-0.393678,2,cluster46
195,-0.038997,-0.588247,2,cluster50
196,0.233995,-0.539233,2,cluster14
197,0.218251,-0.640528,2,cluster14
198,0.013582,-0.640231,2,cluster50
199,0.209636,-0.465267,2,cluster14
200,-1.059966,-0.885894,3,cluster8
201,-1.224534,-0.803907,3,cluster52
202,-1.153538,-0.60102,3,cluster52
203,-1.031449,-0.879358,3,cluster8
204,-1.130368,-0.731723,3,cluster52
205,-1.215622,-0.710039,3,cluster52
206,-1.161558,-0.868368,3,cluster52
207,-1.169876,-0.999665,3,cluster8
208,-1.165717,-0.916787,3,cluster8
209,-1.09591,-0.816383,3,cluster52
210,-1.138091,-0.684492,3,cluster52
211,-0.990753,-0.718059,3,cluster52
212,-1.004418,-0.805392,3,cluster52
213,-1.024914,-0.726079,3,cluster52
214,-1.1574,-0.75727,3,cluster52
215,-1.092345,-0.815789,3,cluster52
216,-0.96491,-0.752517,3,cluster52
217,-1.048678,-0.961345,3,cluster8
218,-1.095019,-0.746279,3,cluster52
219,-0.974712,-0.936393,3,cluster8
220,-1.133933,-0.859159,3,cluster52
221,-1.006497,-0.795293,3,cluster52
222,-1.087889,-0.882923,3,cluster8
223,-0.958374,-0.725188,3,cluster52
224,-1.092642,-0.794104,3,cluster52
225,-1.086701,-0.86005,3,cluster8
226,-1.004418,-0.653599,3,cluster52
227,-0.957483,-0.720138,3,cluster52
228,-1.037688,-0.721921,3,cluster52
229,-1.127397,-0.67766,3,cluster52
230,-1.126803,-0.82886,3,cluster52
231,-0.964018,-0.745091,3,cluster52
232,-0.986892,-0.892429,3,cluster8
233,-1.032638,-0.617952,3,cluster52
234,-1.138685,-0.661916,3,cluster52
235,-1.123536,-0.80361,3,cluster52
236,-1.009765,-0.816383,3,cluster52
237,-1.006794,-0.722515,3,cluster52
238,-0.892132,-0.866288,3,cluster8
