@RELATION ClusteringDatasets/Aggregation

@ATTRIBUTE f0 REAL
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 {1, 2, 3, 4, 5, 6, 7}

@DATA
0.307187,1.627864,2
0.241657,1.516967,2
0.196291,1.597619,2
0.166046,1.642986,2
0.125720,1.567375,2
0.085394,1.607701,2
0.050109,1.678271,2
0.095476,1.511927,2
0.110598,1.411112,2
0.029946,1.496804,2
-0.010380,1.547212,2
-0.020462,1.602660,2
-0.030543,1.627864,2
0.090435,1.269971,2
0.045068,1.355663,2
0.040027,1.411112,2
-0.065828,1.461519,2
-0.116236,1.562334,2
-0.136399,1.632905,2
-0.126317,1.501845,2
-0.176725,1.532090,2
-0.201929,1.597619,2
-0.287621,1.607701,2
-0.227132,1.486723,2
-0.176725,1.416152,2
-0.080951,1.395989,2
-0.091032,1.350623,2
-0.060788,1.264930,2
0.009783,1.164115,2
-0.060788,1.209482,2
-0.141440,1.280052,2
-0.196888,1.275011,2
-0.247295,1.355663,2
-0.317866,1.421193,2
-0.322907,1.486723,2
-0.332988,1.542171,2
-0.504374,1.587538,2
-0.398518,1.506886,2
-0.403559,1.466560,2
-0.448925,1.481682,2
-0.469088,1.441356,2
-0.524537,1.501845,2
-0.574944,1.446397,2
-0.554781,1.411112,2
-0.499333,1.390949,2
-0.398518,1.390949,2
-0.353151,1.345582,2
-0.393477,1.325419,2
-0.312825,1.315337,2
-0.408599,1.264930,2
-0.368273,1.219563,2
-0.287621,1.229645,2
-0.196888,1.194359,2
-0.146480,1.148993,2
-0.196888,1.113707,2
-0.307784,1.093544,2
-0.332988,1.148993,2
-0.418681,1.148993,2
-0.519496,1.234685,2
-0.514455,1.305256,2
-0.595107,1.335500,2
-0.645515,1.360704,2
-0.675759,1.456478,2
-0.690881,1.340541,2
-0.726167,1.370786,2
-0.615270,1.300215,2
-0.716085,1.285093,2
-0.721126,1.229645,2
-0.776574,1.264930,2
-0.837063,1.315337,2
-0.615270,1.239726,2
-0.600148,1.189319,2
-0.514455,1.184278,2
-0.711044,1.179237,2
-0.826982,1.159074,2
-0.857226,1.184278,2
-0.922756,1.088504,2
-0.771533,1.063300,2
-0.826982,1.033055,2
-0.670718,1.098585,2
-0.665678,1.113707,2
-0.499333,1.128830,2
-0.569903,1.083463,2
-0.489251,1.068341,2
-0.559822,1.012892,2
-0.645515,1.017933,2
-0.706004,1.017933,2
-0.786656,0.967526,2
-0.877389,0.942322,2
-0.791696,0.876792,2
-0.842104,0.791099,2
-0.726167,0.796140,2
-0.695922,0.831425,2
-0.675759,0.952403,2
-0.615270,0.952403,2
-0.600148,0.871751,2
-0.509414,0.952403,2
-0.514455,0.912077,2
-0.479170,0.876792,2
-0.489251,0.821344,2
-0.559822,0.735651,2
-0.595107,0.765896,2
-0.650555,0.775977,2
-0.716085,0.720529,2
-0.721126,0.660040,2
-0.675759,0.579388,2
-0.625352,0.665081,2
-0.554781,0.644918,2
-0.539659,0.544103,2
-0.519496,0.574347,2
-0.433803,0.760855,2
-0.423722,0.700366,2
-0.423722,0.604592,2
-0.378355,0.634836,2
-0.348110,0.574347,2
-0.317866,0.523940,2
-0.363233,0.518899,2
-0.408599,0.473532,2
-0.247295,0.473532,2
-0.212010,0.428165,2
-0.393477,0.846548,2
-0.388436,0.886874,2
-0.388436,0.947363,2
-0.388436,1.007852,2
-0.358192,1.038096,2
-0.257377,1.022974,2
-0.358192,0.977607,2
-0.287621,0.947363,2
-0.196888,0.987689,2
-0.161603,1.043137,2
-0.116236,1.103626,2
-0.045665,1.098585,2
-0.020462,1.033055,2
-0.080951,0.972566,2
-0.136399,0.962485,2
-0.166643,0.907037,2
-0.166643,0.861670,2
-0.292662,0.886874,2
-0.267458,0.826385,2
-0.317866,0.816303,2
-0.327947,0.720529,2
-0.257377,0.735651,2
-0.181766,0.791099,2
-0.121277,0.826385,2
-0.015421,0.917118,2
0.060190,0.886874,2
0.034987,0.831425,2
-0.050706,0.755814,2
-0.151521,0.740692,2
-0.217051,0.654999,2
-0.262418,0.619714,2
-0.191847,0.569306,2
-0.111195,0.584429,2
-0.111195,0.680203,2
-0.015421,0.634836,2
0.029946,0.730610,2
-0.035584,0.564266,2
-0.146480,0.503777,2
-0.055747,0.478573,2
-0.025502,0.503777,2
0.055150,0.493695,2
0.125720,0.569306,2
0.100516,0.619714,2
0.115639,0.680203,2
0.150924,0.745733,2
0.271902,0.574347,2
0.302146,0.468491,2
0.140842,0.463451,2
0.125720,0.413043,2
-0.035584,0.392880,2
-0.474129,0.120679,7
-0.368273,0.085394,7
-0.353151,0.019864,7
-0.282581,-0.040625,7
-0.448925,0.040027,7
-0.484211,0.075313,7
-0.574944,0.070272,7
-0.595107,0.095476,7
-0.635433,0.004742,7
-0.716085,0.034987,7
-0.685841,-0.025502,7
-0.736248,-0.060788,7
-0.741289,-0.116236,7
-0.670718,-0.131358,7
-0.645515,-0.075910,7
-0.554781,-0.015421,7
-0.549740,-0.005339,7
-0.464048,-0.000299,7
-0.398518,-0.040625,7
-0.469088,-0.065828,7
-0.544700,-0.055747,7
-0.564863,-0.101114,7
-0.569903,-0.161603,7
-0.615270,-0.181766,7
-0.665678,-0.222092,7
-0.615270,-0.227132,7
-0.549740,-0.247295,7
-0.519496,-0.201929,7
-0.489251,-0.141440,7
-0.443885,-0.131358,7
-0.373314,-0.111195,7
-0.423722,-0.196888,7
-0.353151,-0.161603,7
-0.317866,-0.201929,7
-0.237214,-0.151521,4
-0.212010,-0.196888,4
-0.161603,-0.252336,4
-0.096073,-0.232173,4
-0.075910,-0.166643,4
-0.242255,-0.388436,4
-0.146480,-0.343070,4
-0.065828,-0.272499,4
0.034987,-0.186806,4
0.040027,-0.080951,4
0.110598,-0.141440,4
0.155965,-0.075910,4
0.201331,-0.070869,4
0.181168,-0.005339,4
0.453369,0.040027,4
0.332391,0.009783,4
0.337432,-0.050706,4
0.423125,-0.030543,4
0.377758,-0.080951,4
0.307187,-0.136399,4
0.231576,-0.116236,4
0.196291,-0.176725,4
0.125720,-0.206969,4
0.029946,-0.242255,4
0.065231,-0.272499,4
-0.005339,-0.322907,4
-0.070869,-0.358192,4
-0.141440,-0.408599,4
-0.217051,-0.484211,4
-0.242255,-0.579985,4
-0.121277,-0.459007,4
-0.015421,-0.408599,4
0.060190,-0.358192,4
0.070272,-0.317866,4
0.161005,-0.247295,4
-0.101114,-0.504374,4
-0.116236,-0.564863,4
-0.055747,-0.579985,4
-0.010380,-0.544700,4
-0.025502,-0.494292,4
0.045068,-0.494292,4
0.095476,-0.459007,4
0.085394,-0.428762,4
0.125720,-0.353151,4
0.181168,-0.322907,4
0.236617,-0.297703,4
0.261820,-0.227132,4
0.297106,-0.196888,4
0.387839,-0.166643,4
0.428165,-0.101114,4
0.377758,-0.232173,4
0.292065,-0.242255,4
0.297106,-0.282581,4
0.266861,-0.322907,4
0.276943,-0.388436,4
0.307187,-0.433803,4
0.176128,-0.383396,4
0.176128,-0.428762,4
0.256780,-0.474129,4
0.181168,-0.504374,4
0.105557,-0.509414,4
0.181168,-0.559822,4
0.145883,-0.585026,4
0.055150,-0.559822,4
0.055150,-0.635433,4
-0.096073,-0.625352,4
-0.171684,-0.670718,4
-0.191847,-0.751370,4
-0.116236,-0.700963,4
-0.035584,-0.716085,4
-0.010380,-0.675759,4
0.029946,-0.685841,4
0.115639,-0.665678,4
0.140842,-0.726167,4
0.060190,-0.746330,4
0.004742,-0.766493,4
-0.101114,-0.781615,4
-0.116236,-0.852185,4
-0.010380,-0.821941,4
-0.075910,-0.912674,4
0.014824,-0.887471,4
0.090435,-0.821941,4
0.140842,-0.761452,4
0.024905,-0.958041,4
0.105557,-0.942919,4
0.120679,-0.892511,4
0.161005,-0.847145,4
0.216454,-0.751370,4
0.186209,-0.680800,4
0.201331,-0.600148,4
0.266861,-0.544700,4
0.110598,-1.003408,4
0.196291,-1.018530,4
0.211413,-0.953000,4
0.251739,-0.917715,4
0.276943,-0.907634,4
0.221494,-0.847145,4
0.221494,-0.806819,4
0.276943,-0.988286,4
0.317269,-1.053815,4
0.347513,-0.978204,4
0.362636,-0.902593,4
0.342473,-0.857226,4
0.312228,-0.781615,4
0.307187,-0.751370,4
0.287024,-0.706004,4
0.266861,-0.660637,4
0.302146,-0.579985,4
0.322309,-0.620311,4
0.372717,-0.665678,4
0.387839,-0.721126,4
0.372717,-0.801778,4
0.408002,-0.837063,4
0.448328,-0.781615,4
0.458410,-0.746330,4
0.483614,-0.776574,4
0.483614,-0.842104,4
0.513858,-0.826982,4
0.458410,-0.887471,4
0.478573,-0.953000,4
0.418084,-0.978204,4
0.408002,-1.043734,4
0.473532,-1.053815,4
0.569306,-1.063897,4
0.559225,-1.013489,4
0.569306,-0.953000,4
0.614673,-0.912674,4
0.594510,-0.897552,4
0.639877,-0.937878,4
0.665081,-0.993326,4
0.700366,-0.993326,4
0.654999,-1.048775,4
0.745733,-1.053815,4
0.801181,-0.978204,4
0.735651,-0.932837,4
0.700366,-0.867308,4
0.619714,-0.837063,4
0.594510,-0.796737,4
0.619714,-0.781615,4
0.629795,-0.741289,4
0.665081,-0.801778,4
0.544103,-0.716085,4
0.518899,-0.685841,4
0.458410,-0.650555,4
0.493695,-0.605189,4
0.413043,-0.569903,4
0.322309,-0.539659,4
0.327350,-0.479170,4
0.413043,-0.459007,4
0.796140,-0.917715,4
0.826385,-0.912674,4
0.871751,-0.973163,4
0.932240,-0.993326,4
0.957444,-0.932837,4
0.977607,-0.907634,4
0.901996,-0.882430,4
0.866711,-0.852185,4
0.770936,-0.826982,4
0.836466,-0.786656,4
0.826385,-0.741289,4
0.730610,-0.751370,4
0.740692,-0.706004,4
