@RELATION ClusteringDatasets/D31

@ATTRIBUTE f0 REAL
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31}

@DATA
1.088615,-1.404547,1
1.296552,-1.198690,1
1.116241,-1.340087,1
1.111488,-1.534062,1
1.179216,-1.480890,1
0.962962,-1.414647,1
1.117132,-1.259883,1
1.037225,-1.340384,1
1.338139,-1.290182,1
1.178028,-1.330878,1
1.272787,-1.147003,1
1.306354,-1.568817,1
1.363685,-1.333552,1
1.146540,-1.414053,1
1.120994,-1.353454,1
0.870281,-1.415835,1
1.152778,-1.409300,1
1.239517,-1.406330,1
1.196148,-1.329393,1
1.012866,-1.403953,1
1.052374,-1.274141,1
1.124261,-1.417618,1
1.211000,-1.519804,1
1.085050,-1.336522,1
1.188424,-1.270577,1
1.137331,-1.335334,1
1.384776,-1.311273,1
1.033363,-1.356722,1
1.356556,-1.357613,1
1.169413,-1.383754,1
1.151590,-1.323155,1
1.088318,-1.364148,1
1.287640,-1.359990,1
1.110003,-1.145518,1
1.114161,-1.417321,1
1.074356,-1.498713,1
1.118320,-1.172252,1
1.058612,-1.354940,1
1.212486,-1.263745,1
1.084753,-1.299094,1
1.102873,-1.332364,1
1.197633,-1.444352,1
1.060989,-1.444055,1
1.140896,-1.281271,1
1.174463,-1.434550,1
1.304275,-1.534359,1
1.012866,-1.210869,1
1.034551,-1.456235,1
1.175651,-1.277706,1
1.355368,-1.411380,1
1.275164,-1.384348,1
1.096932,-1.347216,1
1.160799,-1.162747,1
1.250211,-1.271171,1
1.055048,-1.338008,1
1.094853,-1.397715,1
1.144461,-1.240871,1
1.136440,-1.202255,1
1.357150,-1.248298,1
0.995934,-1.479405,1
1.033363,-1.412271,1
1.148916,-1.523963,1
1.261499,-1.237604,1
0.992073,-1.516239,1
1.150105,-1.509704,1
1.068712,-1.217998,1
1.052671,-1.359990,1
1.286749,-1.263150,1
1.164066,-1.418806,1
1.310810,-1.432173,1
1.063068,-1.434550,1
1.192880,-1.472572,1
1.114755,-1.427123,1
1.144461,-1.509704,1
1.152184,-1.373951,1
0.847408,-1.406627,1
1.432008,-1.339196,1
1.097526,-1.546242,1
1.114755,-1.427718,1
1.148322,-1.325828,1
1.369329,-1.427123,1
1.037819,-1.372763,1
1.106438,-1.436629,1
1.113567,-1.377219,1
1.056236,-1.576541,1
1.246647,-1.425044,1
1.194960,-1.301470,1
1.034551,-1.275033,1
1.066039,-1.570006,1
1.269223,-1.281568,1
1.101091,-1.381080,1
1.029204,-1.397715,1
1.171789,-1.373654,1
1.255558,-1.378110,1
1.317345,-1.414944,1
1.228527,-1.499010,1
1.115944,-1.461284,1
1.034254,-1.264042,1
1.185751,-1.346919,1
1.214268,-1.170767,1
0.241718,-0.521113,2
0.198645,-0.526163,2
0.173099,-0.795590,2
0.146364,-0.581118,2
0.111609,-0.769746,2
0.011799,-0.650628,2
0.082201,-0.629537,2
0.112797,-0.653896,2
0.280038,-0.791134,2
0.224489,-0.619140,2
0.075071,-0.626864,2
0.043584,-0.773014,2
0.085765,-0.559136,2
0.096459,-0.653896,2
0.176069,-0.660728,2
0.181416,-0.517251,2
0.062001,-0.445662,2
0.116065,-0.613199,2
0.114876,-0.727268,2
0.021602,-0.569533,2
0.064675,-0.647360,2
0.257165,-0.677066,2
0.019226,-0.676175,2
-0.071673,-0.750438,2
0.152602,-0.635478,2
0.164781,-0.862426,2
0.001996,-0.472396,2
-0.020580,-0.770340,2
0.244094,-0.617358,2
0.168940,-0.572503,2
0.127947,-0.407342,2
0.015067,-0.722218,2
0.237856,-0.633993,2
0.095568,-0.596564,2
0.120520,-0.698751,2
0.137452,-0.669936,2
0.244688,-0.871338,2
-0.064246,-0.769449,2
0.118738,-0.611417,2
0.164484,-0.622111,2
0.208448,-0.627161,2
0.190922,-0.679145,2
0.225083,-0.588841,2
0.354004,-0.644984,2
0.168049,-0.654193,2
0.046851,-0.555868,2
0.032593,-0.659243,2
0.181416,-0.601911,2
