@RELATION ClusteringDatasets/Flames

@ATTRIBUTE f0 REAL
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 {1, 2}

@DATA
-0.950962,2.090657,1
-1.009567,1.955865,1
-1.003706,1.557348,2
-1.068172,1.533906,2
-1.109196,1.451858,2
-1.091614,1.334648,2
-1.038870,1.416695,2
-1.009567,1.487022,2
-0.939241,1.504603,2
-0.886496,1.463579,2
-0.956822,1.410835,2
-0.874775,1.393253,2
-0.822030,1.340508,2
-0.945101,1.322927,2
-1.009567,1.346369,2
-1.009567,1.281903,2
-1.021288,1.217437,2
-0.962683,1.182274,2
-0.933380,1.246740,2
-0.874775,1.293624,2
-0.968543,1.065063,2
-0.886496,1.182274,2
-0.810309,1.229158,2
-0.734122,1.229158,2
-0.763424,1.164692,2
-0.822030,1.117808,2
-0.886496,1.106087,2
-0.886496,0.971294,2
-0.833751,1.029900,2
-0.786867,1.065063,2
-0.704819,1.129529,2
-0.851332,0.918550,2
-0.763424,0.947852,2
-0.722401,1.006458,2
-0.698959,1.070924,2
-0.646214,1.164692,2
-0.622772,1.076784,2
-0.599329,0.994737,2
-0.663795,0.947852,2
-0.775145,0.859944,2
-0.734122,0.742733,2
-0.652074,0.818920,2
-0.669656,0.871665,2
-0.605190,0.900968,2
-0.552445,0.971294,2
-0.493840,1.006458,2
-0.546585,1.088505,2
-0.458677,1.123668,2
-0.405932,1.047481,2
-0.458677,0.965434,2
-0.511421,0.918550,2
-0.529003,0.842363,2
-0.575887,0.772036,2
-0.634493,0.713431,2
-0.587608,0.643104,2
-0.482119,0.566917,2
-0.511421,0.625523,2
-0.505561,0.707570,2
-0.470398,0.801339,2
-0.435234,0.754455,2
-0.452816,0.877526,2
-0.394211,0.900968,2
-0.388350,0.977155,2
-0.312163,0.983015,2
-0.247697,0.977155,2
-0.329745,0.918550,2
-0.277000,0.906828,2
-0.382490,0.854084,2
-0.312163,0.854084,2
-0.382490,0.801339,2
-0.312163,0.783757,2
-0.376629,0.742733,2
-0.300442,0.731012,2
-0.400071,0.678268,2
-0.306303,0.684128,2
-0.370768,0.584499,2
-0.294581,0.602081,2
-0.364908,0.525894,2
-0.277000,0.543475,2
-0.165650,0.549336,2
-0.206673,0.648965,2
-0.241837,0.719291,2
-0.224255,0.766176,2
-0.253558,0.824781,2
-0.230116,0.877526,2
-0.183231,0.953713,2
-0.153929,0.912689,2
-0.124626,0.836502,2
-0.183231,0.836502,2
-0.153929,0.783757,2
-0.177371,0.713431,2
-0.130486,0.631383,2
-0.042578,0.625523,2
-0.095323,0.707570,2
0.027748,0.707570,2
-0.054299,0.783757,2
0.092214,0.777897,2
0.057051,0.848223,2
-0.013276,0.836502,2
-0.066021,0.895107,2
0.021887,0.906828,2
-0.013276,0.959573,2
-0.107044,0.971294,2
-0.077742,1.024039,2
-0.095323,1.076784,2
-0.171510,1.035760,2
0.197704,0.877526,2
0.133238,0.900968,2
0.051190,0.971294,2
0.004306,1.053342,2
0.232867,0.971294,2
