@RELATION ClusteringDatasets/Spiral

@ATTRIBUTE f0 REAL
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 {1, 2, 3}

@DATA
2.114577,-0.462382,3
2.028678,-0.532175,3
1.953517,-0.601967,3
1.872987,-0.671760,3
1.787088,-0.720078,3
1.695821,-0.779133,3
1.604554,-0.827451,3
1.513286,-0.870400,3
1.411282,-0.902612,3
1.325383,-0.929456,3
1.218010,-0.961668,3
1.126743,-0.977774,3
1.030107,-0.988511,3
0.928102,-0.993880,3
0.831466,-1.004617,3
0.734830,-0.993880,3
0.638194,-0.972405,3
0.541558,-0.967036,3
0.461028,-0.940193,3
0.369761,-0.918718,3
0.278494,-0.875769,3
0.203332,-0.843557,3
0.122802,-0.805976,3
0.047641,-0.757658,3
-0.022151,-0.709340,3
-0.086575,-0.655654,3
-0.145631,-0.601967,3
-0.210055,-0.537543,3
-0.274479,-0.473119,3
-0.312059,-0.419433,3
-0.360377,-0.344271,3
-0.397958,-0.279847,3
-0.440907,-0.204686,3
-0.462382,-0.140262,3
-0.483857,-0.059732,3
-0.505331,0.010061,3
-0.516069,0.079853,3
-0.526806,0.160383,3
-0.532175,0.224807,3
-0.526806,0.289231,3
-0.526806,0.375130,3
-0.505331,0.439554,3
-0.489225,0.503978,3
-0.478488,0.568402,3
-0.451645,0.632826,3
-0.424801,0.697250,3
-0.387221,0.756305,3
-0.360377,0.815360,3
-0.317428,0.863678,3
-0.279847,0.917365,3
-0.220792,0.965683,3
-0.177843,1.008632,3
-0.124156,1.062319,3
-0.075838,1.094531,3
-0.032889,1.121374,3
0.031535,1.153586,3
0.085222,1.175061,3
0.128171,1.196535,3
0.187226,1.212641,3
0.246282,1.218010,3
0.305337,1.234116,3
0.369761,1.234116,3
0.418079,1.244853,3
0.477134,1.239485,3
0.525452,1.234116,3
0.589876,1.234116,3
0.638194,1.218010,3
0.686512,1.207273,3
0.734830,1.191167,3
0.788517,1.169692,3
0.831466,1.148217,3
0.874415,1.121374,3
0.906627,1.105268,3
0.938839,1.062319,3
0.987157,1.040844,3
1.019369,0.997895,3
1.046213,0.965683,3
1.073056,0.938839,3
1.099899,0.906627,3
1.116005,0.869047,3
1.126743,0.836835,3
1.142849,0.793885,3
1.153586,0.761673,3
1.164323,0.724093,3
1.169692,0.686512,3
1.175061,0.643563,3
1.175061,0.622088,3
1.175061,0.595245,3
1.164323,0.557664,3
1.158955,0.525452,3
1.142849,0.498609,3
1.137480,0.466397,3
1.121374,0.444922,3
1.110637,0.423448,3
1.105268,0.407342,3
1.089162,0.396604,3
1.083793,0.380498,3
1.067687,0.364392,3
1.062319,0.353655,3
1.046213,0.337549,3
1.035475,0.326812,3
1.030107,0.321443,3
1.019369,0.310706,3
1.008632,0.299968,3
0.997895,0.294600,3
0.992526,0.283862,3
0.761673,2.082365,1
0.869047,2.060890,1
0.976420,2.023310,1
1.073056,2.001835,1
1.175061,1.953517,1
1.255591,1.910568,1
1.357595,1.867618,1
1.432757,1.803194,1
1.513286,1.744139,1
1.599185,1.679715,1
1.663609,1.620660,1
1.722664,1.540130,1
1.792457,1.459600,1
1.851512,1.384439,1
1.899830,1.309277,1
1.948148,1.228747,1
1.969623,1.142849,1
2.001835,1.056950,1
2.039416,0.971051,1
2.050153,0.890521,1
2.066259,0.799254,1
2.071628,0.713356,1
2.082365,0.632826,1
2.076996,0.546927,1
2.060890,0.461028,1
2.044784,0.380498,1
2.028678,0.299968,1
2.001835,0.224807,1
1.969623,0.149646,1
1.937411,0.079853,1
1.894462,0.004692,1
1.851512,-0.054363,1
1.797826,-0.118787,1
1.744139,-0.177843,1
1.690452,-0.231529,1
1.642134,-0.279847,1
1.572342,-0.338903,1
1.502549,-0.371115,1
1.443494,-0.414064,1
1.384439,-0.451645,1
1.314646,-0.483857,1
1.250222,-0.494594,1
1.169692,-0.521437,1
1.099899,-0.532175,1
1.035475,-0.553649,1
0.965683,-0.559018,1
0.885153,-0.564387,1
0.820729,-0.569755,1
0.750936,-0.559018,1
0.697250,-0.553649,1
0.622088,-0.537543,1
0.563033,-0.526806,1
0.498609,-0.499963,1
0.439554,-0.478488,1
0.380498,-0.451645,1
0.337549,-0.419433,1
0.283862,-0.381852,1
0.235544,-0.360377,1
0.181858,-0.317428,1
0.144277,-0.279847,1
0.106696,-0.231529,1
0.074484,-0.183211,1
0.042272,-0.145631,1
0.010061,-0.091944,1
-0.006045,-0.054363,1
-0.032889,-0.006045,1
-0.048995,0.042272,1
-0.054363,0.085222,1
-0.075838,0.144277,1
-0.075838,0.187226,1
-0.075838,0.224807,1
-0.075838,0.262388,1
-0.070469,0.321443,1
-0.065101,0.369761,1
-0.048995,0.407342,1
-0.043626,0.455660,1
-0.027520,0.482503,1
-0.011414,0.530821,1
0.004692,0.573770,1
0.031535,0.600614,1
0.058378,0.622088,1
0.090590,0.659669,1
0.112065,0.681144,1
0.138908,0.707987,1
0.165752,0.729462,1
0.203332,0.750936,1
0.235544,0.777779,1
0.278494,0.783148,1
0.294600,0.799254,1
0.321443,0.799254,1
0.353655,0.815360,1
0.396604,0.820729,1
0.423448,0.820729,1
0.461028,0.820729,1
0.493240,0.820729,1
0.530821,0.820729,1
0.552296,0.809991,1
0.579139,0.804623,1
0.595245,0.799254,1
0.616720,0.788517,1
0.638194,0.783148,1
-0.897244,-0.285216,2
-0.934824,-0.172474,2
-0.956299,-0.091944,2
-0.983142,0.010061,2
-0.983142,0.106696,2
-0.988511,0.203332,2
-0.993880,0.305337,2
-0.983142,0.401973,2
-0.972405,0.493240,2
-0.945562,0.589876,2
-0.918718,0.691881,2
-0.891875,0.783148,2
-0.848926,0.858309,2
-0.811345,0.949577,2
-0.763027,1.024738,2
-0.714709,1.099899,2
-0.650285,1.185798,2
-0.585861,1.244853,2
-0.526806,1.309277,2
-0.451645,1.362964,2
-0.371115,1.416651,2
-0.295953,1.475706,2
-0.220792,1.513286,2
-0.145631,1.556236,2
-0.059732,1.583079,2
0.020798,1.609922,2
0.112065,1.647503,2
0.192595,1.647503,2
0.262388,1.663609,2
0.353655,1.663609,2
0.444922,1.663609,2
0.520084,1.663609,2
0.605982,1.663609,2
0.675775,1.658240,2
0.761673,1.647503,2
0.842203,1.620660,2
0.906627,1.593816,2
0.987157,1.561604,2
1.051581,1.529392,2
1.121374,1.491812,2
1.191167,1.438125,2
1.239485,1.400545,2
1.293171,1.352227,2
1.341489,1.298540,2
1.395176,1.255591,2
1.438125,1.201904,2
1.481074,1.153586,2
1.497180,1.078425,2
1.540130,1.024738,2
1.556236,0.965683,2
1.583079,0.906627,2
1.599185,0.847572,2
1.599185,0.788517,2
1.620660,0.734830,2
1.620660,0.665038,2
1.626028,0.616720,2
1.615291,0.552296,2
1.599185,0.498609,2
1.583079,0.444922,2
1.583079,0.391236,2
1.556236,0.332180,2
1.534761,0.278494,2
1.507918,0.235544,2
1.470337,0.197964,2
1.448863,0.155014,2
1.405913,0.112065,2
1.373701,0.074484,2
1.346858,0.047641,2
1.303909,0.020798,2
1.266328,-0.006045,2
1.212641,-0.043626,2
1.175061,-0.065101,2
1.126743,-0.091944,2
1.078425,-0.102681,2
1.035475,-0.124156,2
0.987157,-0.129525,2
0.949577,-0.134893,2
0.906627,-0.140262,2
0.869047,-0.140262,2
0.826097,-0.134893,2
0.783148,-0.134893,2
0.740199,-0.129525,2
0.707987,-0.124156,2
0.665038,-0.108050,2
0.632826,-0.097313,2
0.600614,-0.081207,2
0.563033,-0.059732,2
0.530821,-0.032889,2
0.509346,-0.022151,2
0.482503,-0.006045,2
0.471766,0.010061,2
0.455660,0.026167,2
0.439554,0.047641,2
0.423448,0.058378,2
0.418079,0.074484,2
0.401973,0.090590,2
0.396604,0.106696,2
0.391236,0.122802,2
0.380498,0.133540,2
0.380498,0.149646,2
0.375130,0.171120,2
0.364392,0.192595,2
0.364392,0.214070,2
0.364392,0.240913,2
0.364392,0.251650,2
